鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
文山區,房地(土地+建物),臺北市文山區指南路二段45巷1~30號,33.75,住,,,10303,土地1建物1車位0,一層，平台,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,103.21,3,2,1,有,無,18720000,181378,,0.0,0
文山區,房地(土地+建物),臺北市文山區文山區景興路42巷4弄1~30號,42.12,住,,,10303,土地3建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,136.67,3,2,2,有,無,9300000,68047,,0.0,0
文山區,房地(土地+建物),臺北市文山區木新路三段31~60號,16.91,住,,,10303,土地1建物1車位0,四層，電梯樓梯間,006,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841207,50.56,0,1,1,有,有,7500000,148339,,0.0,0
中正區,房地(土地+建物)+車位,臺北市中正區汀州路三段60巷2弄1~30號,36.29,住,,,10303,土地1建物1車位1,九層,011,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0891031,154.82,3,2,2,有,有,32500000,209921,坡道平面,0.0,0
文山區,房地(土地+建物)+車位,臺北市文山區政大一街91~120號,55.39,住,,,10303,土地1建物1車位1,二層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020131,147.16,3,2,2,有,有,23100000,156972,坡道平面,26.75,0
中正區,房地(土地+建物),臺北市中正區汀州路一段211~240號,22.38,其他,,,10303,土地3建物1車位0,二層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700630,131.65,3,2,2,有,有,17860000,135663,,0.0,0
文山區,房地(土地+建物),臺北市文山區興隆路一段151~180號,34.5,住,,,10303,土地2建物1車位0,四層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620105,104.9,3,2,1,有,無,13800000,131554,,0.0,0
中正區,房地(土地+建物),臺北市中正區詔安街50巷2弄1~30號,45.25,住,,,10304,土地2建物1車位0,三層，陽台,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,121.94,4,2,2,有,無,16200000,132852,,0.0,0
文山區,房地(土地+建物),臺北市文山區羅斯福路六段159巷5弄1~30號,11.69,住,,,10304,土地1建物1車位0,四層,006,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800710,44.67,1,1,1,有,有,8100000,181330,,0.0,0
文山區,房地(土地+建物),臺北市文山區木新路三段1~30號,31.75,住,,,10303,土地1建物1車位0,三層，陽台,004,公寓(5樓含以下無電梯),,鋼筋混凝土造,,91.06,3,2,1,有,無,8750000,96090,,0.0,0
文山區,房地(土地+建物)+車位,臺北市文山區木新里指南路一段14巷1~30號,42.54,住,,,10212,土地1建物1車位1,四層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881222,153.14,3,1,2,有,無,16000000,104480,坡道平面,24.91,0
文山區,房地(土地+建物),臺北市文山區指南路二段45巷14弄1~30號,11.56,住,,,10304,土地1建物1車位0,七層,007,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980518,47.34,1,1,1,有,有,9800000,207013,,0.0,0
中正區,土地,福和段二小段361~390地號,65.0,商,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35380000,544308,,0.0,0
文山區,房地(土地+建物)+車位,臺北市文山區木新路三段271~300號,9.37,商,,,10304,土地1建物1車位1,九層,011,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0870819,84.89,3,1,1,有,有,12530000,147603,升降機械,0.0,0
萬華區,房地(土地+建物)+車位,臺北市萬華區大理街121~150號,15.55,其他,,,10303,土地1建物1車位1,四層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930716,115.17,2,1,1,有,有,16800000,145871,坡道平面,34.0,0
萬華區,土地,龍山段一小段391~420地號,34.0,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1156000,34000,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區武昌街二段121~150號,3.75,商,,,10304,土地1建物1車位0,九層,009,套房(1房1廳1衛),住家用,鋼筋混凝土造,0630806,26.490000000000002,1,1,1,有,有,3360000,126840,,0.0,0
中正區,土地,城中段一小段511~540地號,664.0,商,,,10303,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1410000000,2123494,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區青年路106巷30弄1~30號,14.42,住,,,10304,土地2建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640403,36.77,2,1,1,有,無,3600000,97906,,0.0,0
大同區,房地(土地+建物),臺北市大同區保安街72巷1~30號,7.48,商,,,10304,土地1建物1車位0,三層,007,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970612,37.69,1,1,1,有,無,7480000,198461,,0.0,0
大同區,房地(土地+建物),臺北市大同區歸綏街211~240號,17.0,其他,,,10303,土地1建物1車位0,二層,004,公寓(5樓含以下無電梯),住家用,加強磚造,,60.17,0,0,0,無,無,8000000,132957,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區艋舺大道421~450號,12.1,商,,,10303,土地2建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680410,70.01,2,2,1,有,有,7130000,101843,,0.0,0
大同區,房地(土地+建物),臺北市大同區延平北路二段121~150號,4.52,其他,,,10304,土地3建物1車位0,六層,011,套房(1房1廳1衛),住商用,鋼筋混凝土造,0680419,47.040000000000006,1,1,1,有,無,8000000,170068,,0.0,0
