鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
松山區,建物,臺北市松山區三民路107巷1~30號,0.0,住,,,10304,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.09,3,2,1,有,有,有,30000,303,,0.0,0
松山區,建物,臺北市松山區南京東路五段61~90號,0.0,商,,,10303,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0750519,89.06,2,2,1,有,有,有,42000,472,,0.0,0
信義區,建物,臺北市信義區信義路五段91~120號,0.0,其他,,,10304,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860926,121.53,3,2,2,有,有,有,53680,442,,0.0,0
信義區,建物,臺北市信義區忠孝東路五段236巷31~60號,0.0,住,,,10304,土地0建物1車位0,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860610,280.56,4,3,2,有,有,有,68000,242,,0.0,0
,車位,臺北市大安區信義路四段91~120號,0.0,,,,10304,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,無,無,4500,,升降平面,45.94,4500
大安區,建物,臺北市大安區安和路二段1~30號,0.0,商,,,10304,土地0建物1車位0,一層,12,店面(店鋪),商業用,鋼筋混凝土造,0700910,88.5,0,1,1,有,有,無,150000,1695,,0.0,0
信義區,建物,臺北市信義區永吉路278巷48弄1~30號,0.0,住,,,10304,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),,加強磚造,,98.75,0,1,1,有,無,無,25000,253,,0.0,0
文山區,建物,臺北市文山區秀明路二段115巷1~30號,0.0,住,,,10304,土地0建物1車位0,四層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860610,150.5,3,2,2,有,有,有,32000,213,,0.0,0
北投區,房地(土地+建物),臺北市北投區公館路91~120號,466.94,住,,,10305,土地1建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970617,106.26,1,1,1,有,無,有,23000,216,,0.0,0
士林區,建物,臺北市士林區忠誠路二段21巷1~30號,0.0,住,,,10304,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980416,206.88,3,2,2,有,有,有,80000,387,,0.0,0
大安區,建物,臺北市大安區羅斯福路二段31~60號,0.0,,,,10305,土地0建物1車位0,十二層,12,辦公商業大樓,商業用,鋼筋混凝土造,,99.88,0,0,0,無,無,無,47727,478,,0.0,0
大安區,房地(土地+建物),臺北市大安區忠孝東路四段170巷18弄1~30號,22.01,商,,,10304,土地1建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821115,128.92,2,2,2,有,有,有,36000,279,,0.0,0
大安區,房地(土地+建物),臺北市大安區仁愛路四段1~30號,9.07,商,,,10304,土地1建物1車位0,五層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0750424,414.84,0,0,1,有,有,無,220000,530,,0.0,0
大安區,建物,臺北市大安區敦化南路二段151~180號,0.0,其他,,,10304,土地0建物1車位0,九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740417,135.06,2,2,1,有,有,有,40000,296,,0.0,0
大安區,建物,臺北市大安區延吉街131巷1~30號,28.14,住,,,10305,土地0建物1車位0,一層,6,店面(店鋪),住家用,鋼筋混凝土造,,135.93,0,0,0,無,無,無,100000,736,,0.0,0
大安區,建物,臺北市大安區新生南路二段1~30號,0.0,住,,,10304,土地0建物1車位3,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1000505,505.74,3,2,3,有,有,有,170000,336,升降平面,118.52,0
