¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¤j·~¸ô1~30¸¹,4.61,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,012,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830625,37.53,1,0,1,¦³,¦³,2120000,56488,,0.0,0
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«ªF°ÏªF­^¤Q¤­µó241~270¸¹,28.63,¦í,,,10304,¤g¦a2«Øª«1¨®¦ì0,¤@¼h,007,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0800808,134.08,3,2,2,¦³,¦³,6200000,46241,,0.0,0
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°Ï«n©M¤@µó1~30¸¹,18.71,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì0,¤Q¼h,012,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830718,115.19,3,2,2,¦³,¦³,4600000,39934,,0.0,0
«n°Ï,¤g¦a,¸U¦w¬q¤­¤p¬q1~30¦a¸¹,440.0,¦í,,,10303,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,32609500,74113,,0.0,0
¦è°Ï,¨®¦ì,»O¤¤¥«¦è°Ïºë¸Û28µó1~30¸¹,1.18,¦í,,,10304,¤g¦a0«Øª«0¨®¦ì1,¦a¤U¤@¼h,007,¨ä¥L,°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,0811002,725.12,0,0,0,¦³,¦³,650000,,©Y¹D¥­­±,7.16,650000
¤¤°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¤¤°Ï¥ÁÅv¸ô151~180¸¹,1.93,°Ó,,,10304,¤g¦a2«Øª«1¨®¦ì0,¤G¤Q¤­¼h,028,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0860131,37.55,1,1,1,¦³,¦³,1100000,29294,,0.0,0
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¦V¤W¸ô¤@¬q307«Ñ1~30¸¹,33.0,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,004,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0670922,89.69,3,2,2,¦³,µL,4000000,44598,,0.0,0
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¥Á¥Í¸ô181~210¸¹,4.46,°Ó,,,10304,¤g¦a2«Øª«3¨®¦ì0,¥|¼h,012,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0780515,37.25,1,0,1,¦³,¦³,1600000,42953,,0.0,0
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°Ï¾Ç©²¸ô211~240¸¹,18.0,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,005,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0710607,91.65,3,1,4,¦³,µL,4180000,45608,,0.0,0
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°Ï¤­Åv«n¸ô601~630¸¹,12.15,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì0,¤Q¥|¼h,014,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0811023,103.27,3,2,2,¦³,¦³,3380000,32730,,0.0,0
¦è°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è°Ï¤T¥Á¸ô¤@¬q31~60¸¹,2.36,¦í,,,10304,¤g¦a2«Øª«1¨®¦ì1,¤Q¤T¼h,019,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840113,29.2,1,0,1,¦³,¦³,1200000,41096,©Y¹D¾÷±ñ,0.0,0
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï´_¿³¸ô¤G¬q71«Ñ31~60¸¹,17.34,¦í,,,10303,¤g¦a2«Øª«1¨®¦ì1,¤»¼h,008,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0850911,99.66,3,2,2,¦³,¦³,4500000,45154,©Y¹D¾÷±ñ,22.12,0
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¤é¶iµó91~120¸¹,4.76,¦í,,,10303,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,008,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830208,27.06,0,0,1,µL,¦³,1000000,36955,,0.0,0
¤¤°Ï,¤g¦a,¬h¤t¬q¤C¤p¬q1~30¦a¸¹,155.5,¦í,,,10303,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,10000000,64309,,0.0,0
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï¤å¤ß«n¸ô871~900¸¹,18.84,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì1,¤E¼h,015,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1000127,179.76,3,2,2,¦³,¦³,11100000,61749,©Y¹D¥­­±,0.0,0
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¤­Åv¤Tµó271~300¸¹,36.45,¦í,,,10303,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,002,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¥[±j¿j³y,0610519,25.03,2,1,1,¦³,µL,3000000,119856,,0.0,0
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°ÏªF¿³¸ô¤@¬q25«Ñ1~30¸¹,12.31,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,014,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0901126,106.74000000000001,2,1,2,¦³,¦³,4880000,45719,,0.0,0
ªF°Ï,¤g¦a,³»¾ô¤lÀY¬q31~60¦a¸¹,24.0,¨ä¥L,,,10304,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1050000,43750,,0.0,0
ªF°Ï,¤g¦a,´_¿³¬q¥|¤p¬q1~30¦a¸¹,80.5,¨ä¥L,,,10304,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,12477500,155000,,0.0,0
ªF°Ï,¤g¦a,´_¿³¬q¥|¤p¬q1~30¦a¸¹,80.5,¨ä¥L,,,10304,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,12477500,155000,,0.0,0
ªF°Ï,¤g¦a,´_¿³¬q¥|¤p¬q1~30¦a¸¹,80.5,¨ä¥L,,,10304,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,12477500,155000,,0.0,0
ªF°Ï,¤g¦a,´_¿³¬q¥|¤p¬q1~30¦a¸¹,80.5,¨ä¥L,,,10305,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,12477500,155000,,0.0,0
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï©¾§µ¸ô121~150¸¹,14.16,°Ó,,,10304,¤g¦a2«Øª«1¨®¦ì1,¤»¼h,015,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1010104,146.39,3,2,2,¦³,¦³,7950000,54307,©Y¹D¥­­±,0.0,0
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«ªF°ÏºÖ¤¯µó121~150¸¹,29.19,¦í,,,10303,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,005,¤½´J(5¼Ó§t¥H¤UµL¹q±è),°ê¥Á¦í¦v,¿ûµ¬²V¾®¤g³y,0730528,91.83,3,2,2,¦³,¦³,3600000,39203,,0.0,0
