鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
西屯區,房地(土地+建物)+車位,惠順段91~120地號,23.73,商,,,10111,土地1建物1車位3,十二層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,399.66,4,2,3,有,無,43160000,111317,坡道平面,60.0,5350000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,22.58,商,,,10111,土地1建物1車位2,十六層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,376.66,4,2,3,有,無,42000000,114379,坡道平面,37.0,3150000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,22.58,商,,,10203,土地1建物1車位2,十七層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,379.66,4,2,3,有,無,41800000,113201,坡道平面,40.0,3350000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,23.73,商,,,10110,土地1建物1車位3,十八層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,400.96,4,2,3,有,無,44750000,115556,坡道平面,60.0,5350000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,22.58,商,,,10206,土地1建物1車位3,十九層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,379.66,4,2,3,有,無,44210000,122505,坡道平面,60.0,5050000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,22.35,商,,,10109,土地1建物1車位2,四層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,378.89,4,2,3,有,無,37230000,99826,坡道平面,40.0,3400000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,23.73,商,,,10110,土地1建物1車位3,五層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,390.66,4,2,3,有,無,38500000,98922,坡道平面,51.0,4900000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,23.73,商,,,10110,土地1建物1車位3,六層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,397.96,4,2,3,有,無,39400000,100892,坡道平面,57.0,5000000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,22.58,商,,,10111,土地1建物1車位2,七層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,380.96,4,2,3,有,無,38150000,102651,坡道平面,40.0,3150000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,22.58,商,,,10206,土地1建物1車位2,八層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,379.66,4,2,3,有,無,36360000,99835,坡道平面,40.0,2450000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,22.58,商,,,10202,土地1建物1車位2,九層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,376.66,4,2,3,有,無,38500000,104516,坡道平面,37.0,3000000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,23.5,商,,,10205,土地1建物1車位3,四層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,388.05,4,2,3,有,無,35500000,93458,坡道平面,51.0,4000000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,26.96,商,,,10110,土地1建物1車位6,八層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,450.62,4,2,3,有,無,43400000,99376,坡道平面,111.0,9650000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,18.89,商,,,10204,土地1建物1車位2,十一層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,317.24,4,2,3,有,無,33400000,108751,坡道平面,40.0,3250000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,18.89,商,,,10201,土地1建物1車位2,十九層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,317.24,4,2,3,有,無,35520000,117479,坡道平面,40.0,2950000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,18.89,商,,,10208,土地1建物1車位2,六層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,318.46,4,2,3,有,無,30600000,99655,坡道平面,40.0,2850000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,18.89,商,,,10208,土地1建物1車位2,七層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,318.46,4,2,3,有,無,31120000,99907,坡道平面,40.0,3300000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,18.89,商,,,10203,土地1建物1車位2,八層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,317.24,4,2,3,有,無,30800000,100274,坡道平面,40.0,3000000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,18.89,商,,,10110,土地1建物1車位2,九層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,318.46,4,2,3,有,無,32410000,104360,坡道平面,40.0,3350000
西屯區,房地(土地+建物)+車位,惠順段91~120地號,18.89,商,,,10211,土地1建物1車位2,十二層,29,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,317.24,4,2,3,有,無,34260000,111311,坡道平面,40.0,3400000
