鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段271~300號,10.79,住,,,10304,土地1建物1車位1,十八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,126.81,2,1,2,有,有,有,26000,205,坡道平面,41.64,0
西屯區,房地(土地+建物)+車位,臺中市西屯區臺中市西屯區天保街10巷1~30號,29.75,住,,,10304,土地1建物1車位1,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830824,131.78,3,2,2,有,有,有,14000,106,坡道機械,0.0,0
西屯區,建物,臺中市西屯區文心路三段1~30號,9.49,商,,,10304,土地0建物1車位0,二層,26,辦公商業大樓,住家用,鋼筋混凝土造,0980813,132.44,2,2,2,有,有,有,25000,189,,0.0,0
西屯區,土地,福順段121~150地號,1243.02,住,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,170000,137,,0.0,0
北屯區,房地(土地+建物),臺中市北屯區文心路四段511~540號,5.83,住,,,10304,土地1建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,0970130,63.37,1,1,1,有,有,有,14800,234,,0.0,0
南區,房地(土地+建物),臺中市南區工學路146巷1~30號,14.83,住,,,10304,土地2建物1車位0,十三層,17,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0841130,123.19,3,2,2,有,有,有,15500,126,,0.0,0
西屯區,房地(土地+建物)+車位,臺中市西屯區工業區一路91~120號,128.74,工,,,10304,土地1建物1車位1,三層,4,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1001107,177.25,0,0,0,無,有,無,46500,262,一樓平面,0.0,0
北屯區,建物,臺中市北屯區安順東十街31~60號,0.0,住,,,10304,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831229,87.34,2,1,1,有,有,無,10000,114,,0.0,0
北區,建物,臺中市北區臺灣大道二段331~360號,0.0,,,,10304,土地0建物1車位0,十三層,28,辦公商業大樓,見其它登記事項,鋼骨鋼筋混凝土造,0890603,169.03,0,0,0,無,有,無,45000,266,,0.0,0
北屯區,建物,臺中市北屯區崇德路二段241~270號,0.0,,,,10304,土地0建物1車位0,十二層,19,辦公商業大樓,見其它登記事項,鋼筋混凝土造,0920602,406.17,0,0,0,無,有,無,54059,133,,0.0,0
西屯區,建物,臺中市西屯區臺灣大道四段901~930號,0.0,,,,10304,土地0建物1車位0,十四層,28,辦公商業大樓,見其他登記事項,見其他登記事項,0810701,503.40999999999997,0,0,0,無,無,無,76000,151,,0.0,0
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道四段901~930號,27.78,住,,,10304,土地1建物1車位2,十四層,28,辦公商業大樓,見其他登記事項,見其他登記事項,0810701,503.40999999999997,0,0,0,無,無,無,72000,143,坡道機械,0.0,0
西屯區,房地(土地+建物)+車位,臺中市西屯區市政路481~510號,17.71,其他,,,10304,土地1建物1車位2,二十四層,29,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1011219,288.96,0,0,0,無,有,無,66000,228,坡道機械,0.0,0
西屯區,建物,臺中市西屯區文心路二段181~210號,0.0,,,,10304,土地0建物1車位0,十二層,23,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0990930,184.04000000000002,0,0,0,無,有,無,47311,257,,0.0,0
南區,建物,臺中市南區忠明南路781~810號,0.0,,,,10304,土地0建物0車位0,四十一層,42,辦公商業大樓,見其他登記事項,見其他登記事項,0821218,178.4,0,0,0,無,有,無,25000,140,,0.0,0
西區,房地(土地+建物)+車位,臺中市西區大隆路1~30號,34.3,商,,,10304,土地1建物1車位2,七層,14,辦公商業大樓,商業用,鋼筋混凝土造,0791110,267.27,0,0,0,無,有,無,46000,172,坡道機械,36.88,0
西區,房地(土地+建物),臺中市西區大隆路1~30號,68.61,商,,,10304,土地1建物0車位0,十四層,14,辦公商業大樓,商業用,鋼筋混凝土造,0791110,228.04999999999998,0,0,0,無,有,無,36800,161,,0.0,0
西區,房地(土地+建物)+車位,臺中市西區公益路361~390號,29.03,住,,,10304,土地1建物1車位1,十一層,17,辦公商業大樓,商業用,鋼筋混凝土造,0800118,300.75,0,0,0,無,有,無,41000,136,坡道機械,0.0,0
豐原區,房地(土地+建物),臺中市豐原區豐原大道ㄧ段271~300號,112.98,住,,,10304,土地1建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0980817,263.32,6,3,6,有,無,無,38000,144,,0.0,0
豐原區,房地(土地+建物),臺中市豐原區豐勢路ㄧ段52巷1~30號,82.21,商,,,10304,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0700327,218.56,5,3,3,有,無,無,23000,105,,0.0,0
豐原區,房地(土地+建物),臺中市豐原區圓環東路82巷31~60號,100.28,住,,,10304,土地1建物1車位0,全,2,透天厝,見其他登記事項,見其他登記事項,0861017,118.68,2,2,2,有,無,無,12000,101,,0.0,0
神岡區,土地,三角子段1~30地號,645.0,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,16000,25,,0.0,0
西屯區,房地(土地+建物),臺中市西屯區大墩二十街91~120號,19.23,商,,,10304,土地1建物1車位0,一層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020904,145.3,0,0,2,有,有,無,55000,379,,0.0,0
西屯區,房地(土地+建物),臺中市西屯區福科路301~330號,25.88,住,,,10304,土地1建物2車位0,一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830826,164.56,4,1,1,有,無,有,15000,91,,0.0,0
西屯區,房地(土地+建物),臺中市西屯區福瑞街61~90號,12.39,商,,,10304,土地1建物1車位0,一層,19,店面(店鋪),住商用,鋼筋混凝土造,0840121,39.82,0,0,0,無,有,無,5000,126,,0.0,0
北屯區,房地(土地+建物),臺中市北屯區昌平路一段61~90號,133.0,住,,,10305,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0760310,362.21,3,3,4,有,無,無,38000,105,,0.0,0
北屯區,房地(土地+建物),臺中市北屯區大連路一段151~180號,112.0,住,,,10305,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0730228,219.0,5,2,3,有,無,有,20000,91,,0.0,0
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路一段601~630號,58.79,商,,,10304,土地1建物1車位2,十一層,22,辦公商業大樓,商業用,鋼筋混凝土造,0800627,722.39,0,0,0,無,有,有,65000,90,坡道平面,0.0,0
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路一段631~660號,51.84,商,,,10303,土地1建物1車位2,九層,22,辦公商業大樓,商業用,鋼筋混凝土造,0800627,612.33,0,0,0,無,有,無,55569,91,坡道機械,0.0,0
西屯區,房地(土地+建物),臺中市西屯區中清路二段1321~1350號,3294.96,住,,,10304,土地5建物1車位0,見其他登記事項,1,廠辦,住家用,見其他登記事項,0801206,211.26,4,3,1,有,無,無,410000,1941,,0.0,0
梧棲區,房地(土地+建物),臺中市梧棲區臺灣大道九段31~60號,69.0,住,,,10304,土地1建物1車位0,全,4,透天厝,住商用,見其他登記事項,0650615,213.75,0,0,0,無,無,無,17600,82,,0.0,0
南屯區,建物,臺中市南屯區工業區19路1~30號,0.0,工,,,10305,土地0建物1車位0,見其他登記事項,3,廠辦,工業用,鋼筋混凝土造,0790716,1137.39,3,2,3,有,無,無,60000,53,,0.0,0
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北一路241~270號,8.4,其他,,,10305,土地1建物1車位1,二十六層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951113,113.94999999999999,1,2,1,有,有,有,20000,176,坡道平面,34.86,0
西屯區,房地(土地+建物)+車位,臺中市西屯區文心路二段541~570號,9.64,住,,,10304,土地1建物1車位1,二十一層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941110,142.89999999999998,3,2,2,有,有,無,18000,126,坡道平面,15.03,0
豐原區,土地,豐南段511~540地號,114.36,商,,,10305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,20000,175,,0.0,0
南區,房地(土地+建物)+車位,臺中市南區五權南一路31~60號,21.3,住,,,10304,土地1建物1車位1,一層,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,1010528,165.11,0,0,0,無,無,無,19000,115,坡道平面,9.03,0
北區,房地(土地+建物),臺中市北區五常街361~390號,2.67,住,,,10304,土地1建物1車位0,五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,28.33,1,1,1,有,有,有,7500,265,,0.0,0
北區,房地(土地+建物),臺中市北區五常街361~390號,2.87,住,,,10304,土地1建物1車位0,七層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,30.85,1,1,1,有,有,有,7500,243,,0.0,0
北區,房地(土地+建物),臺中市北區五常街361~390號,2.87,住,,,10305,土地1建物1車位0,十層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,30.119999999999997,1,1,1,有,有,有,7700,256,,0.0,0
北區,房地(土地+建物),臺中市北區五常街361~390號,2.67,住,,,10304,土地1建物1車位0,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,30.119999999999997,1,1,1,有,有,有,8000,266,,0.0,0
北區,房地(土地+建物),臺中市北區五常街361~390號,2.87,住,,,10305,土地1建物1車位0,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,32.06,1,1,1,有,有,有,7000,218,,0.0,0
北區,房地(土地+建物),臺中市北區五常街361~390號,2.87,住,,,10204,土地1建物1車位0,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,30.35,1,1,1,有,有,有,7500,247,,0.0,0
北區,房地(土地+建物),臺中市北區五常街361~390號,2.67,住,,,10304,土地1建物1車位0,十二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,28.33,1,1,1,有,有,有,7000,247,,0.0,0
北區,房地(土地+建物),臺中市北區五常街361~390號,2.67,住,,,10304,土地1建物1車位0,十二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,30.119999999999997,1,1,1,有,有,有,7500,249,,0.0,0
北區,房地(土地+建物),臺中市北區五常街361~390號,2.87,住,,,10304,土地1建物1車位0,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,30.85,1,1,1,有,有,有,7500,243,,0.0,0
北區,房地(土地+建物),臺中市北區五常街361~390號,2.67,住,,,10304,土地1建物1車位0,十四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,30.119999999999997,1,1,1,有,有,有,8000,266,,0.0,0
北區,房地(土地+建物),臺中市北區五常街361~390號,2.87,住,,,10304,土地1建物1車位0,十四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,31.9,1,1,1,有,有,有,8000,251,,0.0,0
北區,房地(土地+建物),臺中市北區五常街361~390號,2.87,住,,,10304,土地1建物1車位0,十五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,30.35,1,1,1,有,有,有,7500,247,,0.0,0
北區,房地(土地+建物),臺中市北區五常街361~390號,2.87,住,,,10304,土地1建物1車位0,十六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,30.669999999999998,1,1,1,有,有,有,7500,245,,0.0,0
北區,房地(土地+建物),臺中市北區五常街361~390號,4.78,住,,,10305,土地1建物1車位0,十七層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,51.28,1,1,1,有,有,有,10500,205,,0.0,0
北區,車位,臺中市北區五常街361~390號,0.0,,,,10304,土地0建物0車位1,,,其他,,,,24.8,0,0,0,有,有,無,3000,,坡道平面,24.8,3000
北屯區,房地(土地+建物),臺中市北屯區北屯路181~210號,80.59,商,,,10304,土地1建物1車位0,見其它登記事項,13,店面(店鋪),住商用,鋼筋混凝土造,0830208,394.17,6,1,3,有,有,無,40000,101,,0.0,0
豐原區,房地(土地+建物),臺中市豐原區豐東路220巷19弄1~30號,75.0,住,,,10304,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0750215,140.31,4,3,3,有,無,無,15000,107,,0.0,0
西屯區,房地(土地+建物),臺中市西屯區上石路75巷1~30號,24.19,住,,,10305,土地1建物1車位0,一層,9,店面(店鋪),住商用,鋼筋混凝土造,0821224,164.28,0,0,0,無,無,有,15000,91,,0.0,0
南屯區,房地(土地+建物)+車位,臺中市南屯區向上南路241~270號,13.45,住,,,10304,土地1建物1車位2,見其他登記事項,18,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0831108,144.26,0,0,0,無,無,無,150000,1040,坡道平面,0.0,0
西屯區,土地,福星段91~120地號,1192.52,住,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,60000,50,,0.0,0
北區,房地(土地+建物),臺中市北區學士路301~330號,18.57,住,,,10304,土地2建物1車位0,一層,18,店面(店鋪),見其它登記事項,鋼筋混凝土造,0941208,128.08,0,0,0,無,無,無,40000,312,,0.0,0
龍井區,房地(土地+建物),臺中市龍井區新興路22巷1~30號,115.0,,鄉村區,乙種建築用地,10304,土地1建物1車位0,全,3,透天厝,住家用,見其他登記事項,0640615,106.4,6,2,2,有,無,有,17000,160,,0.0,0
烏日區,房地(土地+建物),臺中市烏日區中山路一段495巷1~30號,61.11,住,,,10305,土地1建物1車位0,全,2,透天厝,住家用,見其他登記事項,0600320,74.66,2,2,1,有,無,無,11000,147,,0.0,0
沙鹿區,房地(土地+建物),臺中市沙鹿區自強路355巷21弄1~30號,83.0,其他,,,10305,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1001116,167.97,4,3,3,有,無,有,18000,107,,0.0,0
梧棲區,土地,三民段1531~1560地號,168.0,住,,,10305,土地1建物0車位0,,,其他,,,,0.0,5,0,0,有,無,無,10000,60,,0.0,0
太平區,房地(土地+建物),臺中市太平區建和路ㄧ段31~60號,94.63,住,,,10305,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1010408,256.88,4,3,6,有,無,無,30000,117,,0.0,0
南屯區,建物,臺中市南屯區精科八路31~60號,0.0,工,,,10305,土地0建物1車位0,見其他登記事項,2,工廠,見其他登記事項,見其他登記事項,1020428,1632.45,0,0,0,無,無,無,250000,,,0.0,0
西屯區,房地(土地+建物),臺中市西屯區惠中三街1~30號,16.0,其他,,,10305,土地1建物1車位0,七層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960612,185.0,4,2,2,有,有,有,49000,265,,0.0,0
西屯區,房地(土地+建物),臺中市西屯區市政北一路61~90號,21.92,其他,,,10305,土地1建物1車位0,九層,16,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0850903,167.51999999999998,0,0,1,有,有,無,31000,185,,0.0,0
北屯區,房地(土地+建物)+車位,臺中市北屯區北屯路391~420號,19.03,住,,,10304,土地2建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890218,171.74,4,2,2,有,有,有,20000,116,坡道平面,18.4,0
北屯區,房地(土地+建物),臺中市北屯區松竹路二段361~390號,5.96,住,,,10304,土地1建物1車位0,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831210,46.01,1,1,1,有,有,有,9000,196,,0.0,0
太平區,房地(土地+建物),臺中市太平區東村六街22巷31~60號,16.4,住,,,10305,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850209,89.89,3,2,1,有,有,有,9000,100,,0.0,0
太平區,房地(土地+建物),臺中市太平區宜昌路391~420號,29.1,住,,,10305,土地1建物1車位0,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,0820915,57.27,0,0,0,無,無,有,15000,262,,0.0,0
霧峰區,房地(土地+建物),臺中市霧峰區柳豐五街1~30號,104.17,,鄉村區,乙種建築用地,10305,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0891009,145.26,5,2,5,有,無,無,25000,172,,0.0,0
太平區,房地(土地+建物),臺中市太平區中山路二段259巷21弄1~30號,91.94,,鄉村區,乙種建築用地,10305,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0680415,81.0,4,2,2,有,無,有,12000,148,,0.0,0
