鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
中正區,車位,基隆市中正區觀海街121~150號,0.0,,,,10304,土地0建物0車位1,,,其他,,,,41.38,0,0,0,有,有,480000,,坡道平面,41.38,480000
信義區,房地(土地+建物),基隆市信義區正信路227巷23弄1~30號,25.84,住,,,10303,土地6建物1車位0,一層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860607,104.49,2,1,1,有,有,3150000,30146,,0.0,0
中正區,房地(土地+建物)+車位,基隆市中正區新豐街331~360號,20.37,住,,,10304,土地2建物1車位1,十一層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,150.88,3,2,2,有,有,4650000,30819,坡道平面,0.0,0
中正區,房地(土地+建物),基隆市中正區北寧路271~300號,21.59,住,,,10303,土地1建物1車位0,五層，夾層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830607,92.47999999999999,3,1,2,有,無,2200000,23789,,0.0,0
仁愛區,土地,成功段151~180地號,11.0,商,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2905000,264091,,0.0,0
信義區,房地(土地+建物),基隆市信義區月眉路92巷31~60號,74.5,住,,,10303,土地2建物1車位0,二層,002,公寓(5樓含以下無電梯),住家用,加強磚造,0640604,83.55,5,2,2,有,無,1400000,16756,,0.0,0
中正區,土地,港灣段二小段31~60地號,128.0,住,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,11719,,0.0,0
仁愛區,房地(土地+建物),基隆市仁愛區仁一路241~270號,3.18,商,,,10304,土地2建物1車位0,十九層,031,套房(1房1廳1衛),住家用,鋼骨鋼筋混凝土造,0970204,57.75,1,1,1,有,有,5300000,91775,,0.0,0
中正區,房地(土地+建物),基隆市中正區新豐街331~360號,11.88,住,,,10304,土地2建物1車位0,二層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,64.42,2,1,1,有,有,2200000,34151,,0.0,0
中正區,房地(土地+建物),基隆市中正區豐稔街61~90號,19.2,住,,,10304,土地2建物1車位0,四層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780411,71.51,2,1,1,有,無,1880000,26290,,0.0,0
