鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
北區,房地(土地+建物),臺南市北區開元路73巷41弄1~30號,37.0,住,,,10304,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0590506,70.95,2,2,1,有,無,有,4000,56,,0.0,0
東區,房地(土地+建物),臺南市東區育樂街61~90號,0.0,住,,,10304,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0690502,33.83,2,1,1,有,無,有,5500,163,,0.0,0
東區,房地(土地+建物)+車位,臺南市東區長榮路一段1~30號,0.0,住,,,10304,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0991213,70.17,2,1,1,有,無,有,16000,228,坡道平面,18.23,0
佳里區,房地(土地+建物),臺南市佳里區文化路421~450號,96.58,住,,,10303,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0720108,174.64,0,0,0,無,無,無,3000,17,,0.0,0
東區,房地(土地+建物),臺南市東區中華東路三段91~120號,574.0,商,,,10305,土地1建物1車位0,見其他登記事項,1,店面(店鋪),見其他登記事項,見其他登記事項,0750724,201.66,0,0,0,有,無,有,102000,506,,0.0,0
東區,建物,臺南市東區東寧路31~60號,93.58,商,,,10304,土地0建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0861008,103.08,5,1,2,有,無,有,22000,213,,0.0,0
東區,建物,臺南市東區林森路一段121~150號,25.8,商,,,10304,土地0建物1車位0,十一層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0800111,29.63,1,1,1,有,無,有,6000,202,,0.0,0
東區,建物,臺南市東區中華東路一段61~90號,0.0,商,,,10304,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0890822,98.0,4,1,2,有,有,有,17000,173,,0.0,0
東區,建物,臺南市東區建東街35巷1~30號,0.0,住,,,10304,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0571205,71.0,5,2,4,有,無,有,12000,169,,0.0,0
南區,建物,臺南市南區大同路二段430巷9弄1~30號,0.0,住,,,10304,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0670412,92.48,6,2,3,有,無,有,9000,97,,0.0,0
善化區,房地(土地+建物),臺南市善化區陽光大道358巷1~30號,111.0,住,,,10305,土地1建物1車位0,見其他登記事項,3,其他,見其他登記事項,鋼筋混凝土造,1020709,185.4,4,2,4,有,無,無,18000,97,,0.0,0
