鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
楠梓區,房地(土地+建物)+車位,藍昌段二小段991~1020地號,12.1,商,,,10110,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,145.17,3,2,2,有,無,5220000,37695,坡道平面,29.24,850000
楠梓區,房地(土地+建物)+車位,藍昌段二小段991~1020地號,16.51,商,,,10110,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,187.85,4,2,2,有,無,7370000,41107,坡道平面,29.24,850000
楠梓區,房地(土地+建物),藍昌段二小段991~1020地號,9.17,商,,,10110,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,91.45,2,1,1,有,無,3490000,38163,,0.0,0
楠梓區,房地(土地+建物)+車位,藍昌段二小段991~1020地號,12.47,商,,,10110,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,149.62,3,2,2,有,無,4850000,33228,坡道平面,29.24,850000
楠梓區,房地(土地+建物),藍昌段二小段991~1020地號,6.97,商,,,10110,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,69.04,2,1,1,有,無,2420000,35052,,0.0,0
楠梓區,房地(土地+建物),藍昌段二小段991~1020地號,9.17,商,,,10110,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,91.44,2,1,1,有,無,3480000,38058,,0.0,0
楠梓區,房地(土地+建物),藍昌段二小段991~1020地號,8.44,商,,,10111,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,85.46,2,1,1,有,無,2840000,33232,,0.0,0
楠梓區,房地(土地+建物),藍昌段二小段991~1020地號,8.44,商,,,10110,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,84.5,2,1,1,有,無,3000000,35503,,0.0,0
楠梓區,房地(土地+建物)+車位,藍昌段二小段991~1020地號,16.51,商,,,10110,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,187.85,4,2,2,有,無,6950000,37198,坡道平面,29.24,1050000
楠梓區,房地(土地+建物),藍昌段二小段991~1020地號,9.17,商,,,10110,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,91.91,2,1,1,有,無,3700000,40257,,0.0,0
楠梓區,房地(土地+建物)+車位,藍昌段二小段991~1020地號,15.04,商,,,10110,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,174.35,0,0,0,無,無,7100000,42382,坡道平面,29.24,950000
楠梓區,房地(土地+建物),藍昌段二小段991~1020地號,10.64,商,,,10110,土地1建物1車位0,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,105.22,0,0,0,無,無,4100000,38966,,0.0,0
楠梓區,房地(土地+建物)+車位,藍昌段二小段991~1020地號,11.37,商,,,10110,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,108.88,0,0,0,無,無,4700000,47730,坡道平面,27.17,800000
