鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
苓雅區,建物,高雄市前金區中山二路511~540號,0.0,商,,,10304,土地0建物1車位0,七層,,辦公商業大樓,,,,99.93,0,0,0,無,有,無,15000,150,,0.0,0
苓雅區,房地(土地+建物),高雄市苓雅區廣西路91~120號,79.0,其他,,,10305,土地1建物1車位0,全,3,透天厝,,鋼筋混凝土加強磚造,0630920,143.49,0,0,0,無,無,無,13000,91,,0.0,0
苓雅區,建物,高雄市苓雅區建國一路151~180號,342.0,住,,,10305,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0750131,157.09,3,2,3,有,無,無,35000,223,,0.0,0
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東二路91~120號,25.17,住,,,10304,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930610,187.0,3,2,2,有,有,有,22734,122,坡道平面,16.21,0
前金區,房地(土地+建物),高雄市前金區市中一路91~120號,18.25,商,,,10305,土地1建物1車位0,一層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0771220,133.03,0,0,0,無,無,無,28000,210,,0.0,0
三民區,房地(土地+建物),高雄市三民區綏遠一街121~150號,69.0,住,,,10304,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0681004,196.74,5,0,4,有,無,無,20000,102,,0.0,0
楠梓區,房地(土地+建物),高雄市楠梓區土庫三路151~180號,155.0,住,,,10305,土地1建物1車位0,全,4,透天厝,住商用,見使用執照,0920319,374.7,8,0,0,無,無,有,55000,147,,0.0,0
前鎮區,房地(土地+建物),高雄市前鎮區三多三路121~150號,26.16,其他,,,10304,土地1建物1車位0,十一層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840327,52.5,1,1,1,有,無,無,5000,95,,0.0,0
前鎮區,建物,高雄市前鎮區中山二路1~30號,0.0,商,,,10304,土地0建物1車位1,十一層,28,辦公商業大樓,商業用,鋼筋混凝土造,0870714,208.26,0,0,0,無,有,無,27000,130,坡道平面,0.0,0
鳳山區,房地(土地+建物),高雄市鳳山區光復路二段241~270號,38.18,住,,,10304,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0790605,219.74,0,0,0,無,有,有,46000,209,,0.0,0
鳳山區,房地(土地+建物),高雄市鳳山區中崙路688巷1~30號,83.95,住,,,10305,土地3建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,0961226,230.11,5,2,4,有,無,無,20000,87,,0.0,0
左營區,房地(土地+建物),高雄市左營區海明街61~90號,10.6,住,,,10304,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960716,81.86,2,2,1,有,無,有,10000,122,,0.0,0
三民區,建物,高雄市三民區鼎山街451~480號,29.4,住,,,10305,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0570930,52.43,0,0,0,無,無,無,14000,267,,0.0,0
三民區,建物,高雄市三民區鼎山街451~480號,29.37,住,,,10305,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0570930,52.43,0,0,0,無,無,無,14000,267,,0.0,0
三民區,房地(土地+建物),高雄市三民區澄清路661~690號,58.0,住,,,10305,土地2建物1車位0,見其他登記事項,4,店面(店鋪),,鋼筋混凝土造,0750903,258.15,4,0,4,有,無,無,40000,155,,0.0,0
三民區,土地,鼎泰段一小段331~360地號,135.23,住,,,10305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,60000,444,,0.0,0
新興區,建物,高雄市新興區林森一路243巷31~60號,0.0,住,,,10304,土地0建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690213,132.1,4,1,2,有,無,無,15000,114,,0.0,0
苓雅區,房地(土地+建物)+車位,高雄市苓雅區仁義街1~30號,9.84,住,,,10305,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930303,54.76,2,2,1,有,有,有,20000,365,坡道機械,5.6,0
新興區,建物,高雄市新興區復興一路61~90號,0.0,商,,,10304,土地0建物1車位0,全,5,透天厝,,鋼筋混凝土造,0680206,46.09,0,0,0,無,無,無,28000,608,,0.0,0
鼓山區,房地(土地+建物),高雄市鼓山區美術東四路1~30號,11.55,住,,,10304,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940202,52.82,2,2,1,有,有,有,12000,227,,0.0,0
鼓山區,房地(土地+建物),高雄市鼓山區民利街91~120號,20.17,其他,,,10304,土地1建物1車位0,一層,21,店面(店鋪),住商用,鋼筋混凝土造,0840309,216.29,3,2,2,有,有,有,30000,139,,0.0,0
鼓山區,房地(土地+建物),高雄市鼓山區中華一路301~330號,42.16,其他,,,10304,土地1建物1車位0,一層,5,店面(店鋪),,鋼筋混凝土造,0711210,49.61,3,3,2,有,無,有,22000,443,,0.0,0
三民區,房地(土地+建物),高雄市三民區大順二路31~60號,9.6,住,,,10304,土地1建物1車位0,十一層,15,辦公商業大樓,住家用,鋼筋混凝土造,0990401,117.89,3,2,2,有,無,有,18000,153,,0.0,0
三民區,房地(土地+建物),高雄市三民區大豐二路19巷2弄1~30號,40.0,商,,,10305,土地1建物1車位0,全,2,透天厝,住家用,磚造,0580718,58.68,2,1,1,有,無,有,7000,119,,0.0,0
苓雅區,房地(土地+建物),高雄市苓雅區五權街57巷1~30號,10.45,商,,,10305,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),,鋼筋混凝土造,0721115,95.84,3,2,2,有,無,有,10000,104,,0.0,0
左營區,建物,高雄市左營區華夏路1111~1140號,0.0,住,,,10304,土地0建物2車位0,全,5,透天厝,見使用執照,鋼筋混凝土造,0941111,165.51,0,0,0,無,無,無,78000,471,,0.0,0
前鎮區,建物,高雄市前鎮區林森三路193巷1~30號,0.0,,,,10304,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0640505,80.27,3,2,2,有,無,無,10000,125,,0.0,0
鳳山區,建物,高雄市鳳山區新富路422巷1~30號,12.91,住,,,10303,土地0建物1車位1,五層,13,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0931118,78.13,3,2,2,有,有,有,16000,205,坡道機械,6.41,0
鳳山區,房地(土地+建物),高雄市鳳山區輜汽路1~30號,726.0,工,,,10304,土地1建物1車位0,見其他登記事項,2,工廠,工業用,加強磚造,0670220,210.74,0,0,0,無,無,無,90000,,,0.0,0
鳳山區,建物,高雄市鳳山區青年路二段181~210號,0.0,住,,,10304,土地0建物1車位0,十六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800230,162.05,4,2,2,有,有,有,11000,68,,0.0,0
鳳山區,建物,高雄市鳳山區五甲三路181~210號,0.0,商,,,10304,土地0建物1車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0690116,85.35,1,1,1,有,無,無,26000,305,,0.0,0
鳳山區,房地(土地+建物),高雄市鳳山區鳳南路91~120號,64.0,住,,,10304,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0620707,143.79,0,0,0,無,無,無,14000,97,,0.0,0
左營區,房地(土地+建物),高雄市左營區重上街181~210號,7.7,商,,,10305,土地1建物1車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861006,105.79,3,2,2,有,有,有,13500,128,,0.0,0
左營區,建物,高雄市左營區城峰路1~30號,17.38,住,,,10303,土地0建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970410,87.32,3,2,2,有,有,有,23000,263,坡道平面,18.11,0
左營區,房地(土地+建物),高雄市左營區榮總路490巷1~30號,64.0,住,,,10305,土地1建物1車位0,全,2,透天厝,,鋼筋混凝土造,0730830,96.5,3,2,2,有,無,有,9000,93,,0.0,0
左營區,房地(土地+建物),高雄市左營區自由二路211~240號,176.0,住,,,10304,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0960131,442.28,5,2,6,有,無,無,98000,222,,0.0,0
岡山區,土地,文化段91~120地號,88.0,商,,,10305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,13500,153,,0.0,0
梓官區,土地,新興段631~660地號,396.69,,一般農業區,丁種建築用地,10305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,21000,53,,0.0,0
梓官區,土地,新興段631~660地號,892.56,,一般農業區,丁種建築用地,10305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,47250,53,,0.0,0
梓官區,土地,新興段631~660地號,4690.84,,一般農業區,丁種建築用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,160000,34,,0.0,0
燕巢區,土地,鳳雄段241~270地號,3739.39,,一般農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,60000,16,,0.0,0
大社區,土地,圳觀段841~870地號,247.93,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,22000,89,,0.0,0
鳥松區,土地,美德段751~780地號,297.52,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,23600,79,,0.0,0
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,10305,土地0建物1車位0,九層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,122.31,3,2,2,有,有,有,14000,114,,0.0,0
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,10304,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,2000,,坡道平面,12.65,2000
,車位,高雄市苓雅區新光路62巷1~30號,0.0,,,,10305,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1900,,坡道平面,12.65,1900
苓雅區,建物,高雄市苓雅區和平一路121~150號,0.0,商,,,10304,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690811,80.28,3,2,2,有,無,有,9000,112,,0.0,0
三民區,建物,高雄市三民區澄清路691~720號,22.88,住,,,10303,土地0建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010208,77.65,3,2,2,有,有,有,26500,341,坡道平面,23.43,0
三民區,建物,高雄市三民區鼎力路61~90號,6.07,住,,,10303,土地0建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021023,43.04,2,2,1,有,有,有,16000,372,坡道機械,5.91,0
三民區,建物,高雄市三民區建國一路391~420號,0.0,住,,,10304,土地0建物1車位0,一層,5,店面(店鋪),,鋼筋混凝土造,0690602,55.97,0,0,0,無,無,無,28000,500,,0.0,0
三民區,建物,高雄市三民區褒揚東街162巷31~60號,13.51,住,,,10303,土地0建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010927,49.94,2,2,1,有,有,有,17000,340,,0.0,0
三民區,建物,高雄市三民區大昌二路241~270號,0.0,住,,,10304,土地0建物1車位0,六層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880731,33.66,1,1,1,有,有,有,6500,193,,0.0,0
鼓山區,建物,高雄市鼓山區明華路331~360號,19.44,住,,,10303,土地0建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950519,93.11,4,2,2,有,有,有,31000,333,坡道平面,16.46,0
鼓山區,建物,高雄市鼓山區美術南三路61~90號,24.14,住,,,10303,土地0建物1車位1,十七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020805,120.05,4,2,2,有,有,有,61000,508,坡道平面,34.64,0
鼓山區,建物,高雄市鼓山區博愛二路331~360號,11.9,商,,,10303,土地0建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940802,84.76,3,2,2,有,有,有,20500,242,坡道平面,31.8,0
鼓山區,建物,高雄市鼓山區裕國街331~360號,9.87,住,,,10303,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931104,52.88,2,2,1,有,有,有,15000,284,,0.0,0
前金區,房地(土地+建物),高雄市前金區新盛一街1~30號,20.27,商,,,10304,土地1建物1車位0,一層,15,店面(店鋪),住商用,鋼筋混凝土造,0980217,203.27,0,2,2,有,有,無,38000,187,,0.0,0
前金區,房地(土地+建物),高雄市前金區六合二路91~120號,27.4,商,,,10304,土地1建物1車位0,全,5,透天厝,,鋼筋混凝土造,0720613,109.72,0,0,6,有,無,無,55000,501,,0.0,0
苓雅區,土地,林德官段一小段1681~1710地號,170.97,商,,,10305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,43000,252,,0.0,0
苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,5.59,商,,,10304,土地1建物1車位0,十五層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,98.3,3,2,2,有,有,有,13630,139,,0.0,0
苓雅區,房地(土地+建物),高雄市苓雅區成功一路271~300號,86.0,商,,,10304,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0640925,285.12,0,0,0,有,無,無,45000,158,,0.0,0
大寮區,土地,會結南段421~450地號,1157.02,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,90000,78,,0.0,0
左營區,房地(土地+建物),高雄市左營區自由二路61~90號,34.64,住,,,10304,土地1建物1車位0,一層,7,店面(店鋪),住商用,鋼筋混凝土造,0850113,234.2,3,2,2,有,無,有,54000,231,,0.0,0
左營區,建物,高雄市左營區裕誠路361~390號,0.0,住,,,10304,土地0建物1車位0,一層,2,店面(店鋪),見其它登記事項,見其它登記事項,0980410,106.58,0,0,0,無,無,無,157500,1478,,0.0,0
左營區,建物,高雄市左營區華夏路1561~1590號,103.22,其他,,,10305,土地0建物1車位0,見其它登記事項,4,店面(店鋪),住商用,見使用執照,0930106,270.86,5,2,4,有,無,無,33000,122,,0.0,0
左營區,房地(土地+建物)+車位,高雄市左營區孟子路511~540號,23.74,住,,,10305,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0930519,154.53,3,2,2,有,有,有,20000,129,坡道平面,26.1,0
左營區,房地(土地+建物),高雄市左營區崇德路121~150號,7.63,住,,,10304,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,見使用執照,0900425,68.32,2,1,1,有,無,有,10000,146,,0.0,0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區武營路271~300號,1704.0,住,,,10304,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790318,113.08,4,2,2,有,無,無,12500,136,坡道平面,24.88,500
鳳山區,房地(土地+建物)+車位,高雄市鳳山區八德路361~390號,13.06,商,,,10305,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1010901,76.68,3,2,2,有,無,有,21000,274,坡道平面,0.0,0
前鎮區,房地(土地+建物),高雄市前鎮區一心一路241~270號,65.0,商,,,10305,土地1建物1車位0,全,2,透天厝,,加強磚造,0620818,101.28,3,2,1,有,無,有,22000,217,,0.0,0
前鎮區,建物,高雄市前鎮區中山二路241~270號,0.0,商,,,10304,土地0建物1車位0,十三層,30,辦公商業大樓,見其它登記事項,見其它登記事項,0891104,861.46,0,0,0,無,有,無,138251,160,,0.0,0
苓雅區,建物,高雄市苓雅區四維三路241~270號,0.0,商,,,10305,土地0建物1車位0,九層,12,辦公商業大樓,,鋼筋混凝土造,0781109,42.87,0,0,0,無,有,無,8000,187,,0.0,0
新興區,建物,高雄市新興區中山一路91~120號,0.0,商,,,10304,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),,鋼筋混凝土造,0651124,55.27,0,0,0,無,有,無,8500,154,,0.0,0
苓雅區,建物,高雄市苓雅區四維三路61~90號,0.0,商,,,10305,土地0建物1車位1,五層,12,辦公商業大樓,,鋼筋混凝土造,0800124,130.29,0,0,0,無,有,無,28000,215,坡道平面,0.0,0
鹽埕區,房地(土地+建物),高雄市鹽埕區大勇市場31~60號,23.0,其他,,,10304,土地1建物1車位0,全,2,透天厝,商業用,磚造,0560624,25.73,2,1,1,有,無,有,5000,194,,0.0,0
三民區,建物,高雄市三民區春陽街31~60號,10.41,商,,,10305,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841020,89.31,2,1,2,有,無,無,10500,118,,0.0,0
三民區,建物,高雄市三民區春陽街31~60號,10.41,商,,,10305,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841020,89.31,2,1,2,有,無,無,10500,118,,0.0,0
三民區,房地(土地+建物),高雄市三民區明誠二路91~120號,8.51,商,,,10305,土地1建物1車位0,八層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880519,160.42,3,2,2,有,無,有,15000,94,,0.0,0
三民區,房地(土地+建物),高雄市三民區鼎力路331~360號,94.0,住,,,10305,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,1020807,338.27,6,2,7,有,無,有,50000,148,,0.0,0
三民區,房地(土地+建物),高雄市三民區民豐路61~90號,154.0,商,,,10305,土地2建物2車位0,全,4,透天厝,,鋼筋混凝土造,0731219,540.38,0,0,0,無,無,無,60000,111,,0.0,0
三民區,建物,高雄市三民區民族一路691~720號,7.78,住,,,10304,土地0建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980430,52.12,2,1,1,有,有,有,15500,297,坡道平面,17.32,0
前金區,建物,高雄市前金區自立橫路91~120號,11.31,商,,,10304,土地0建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950303,56.92,2,2,1,有,無,有,18000,316,,0.0,0
苓雅區,建物,高雄市苓雅區四維三路241~270號,0.0,商,,,10305,土地0建物1車位0,九層,12,辦公商業大樓,,鋼筋混凝土造,0781109,43.24,0,0,0,無,有,無,7000,162,,0.0,0
新興區,建物,高雄市新興區復興街1~30號,11.72,商,,,10304,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020517,56.2,2,2,1,有,無,有,25000,445,,0.0,0
新興區,建物,高雄市新興區南臺路151~180號,5.29,商,,,10304,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020110,38.56,1,2,1,有,有,有,12000,311,,0.0,0
前鎮區,房地(土地+建物),高雄市前鎮區新光路1~30號,1.28,商,,,10304,土地1建物1車位0,十七層,39,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0880209,39.9,1,1,1,有,有,有,10000,251,,0.0,0
前鎮區,建物,高雄市前鎮區一心二路181~210號,1342.0,住,,,10304,土地0建物1車位0,十五層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831001,40.82,1,1,1,有,有,有,7500,184,,0.0,0
左營區,建物,高雄市左營區正心街61~90號,5.96,商,,,10304,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001028,41.58,2,2,1,有,有,有,17000,409,,0.0,0
左營區,建物,高雄市左營區博愛二路241~270號,23.06,住,,,10304,土地0建物1車位1,十層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001003,194.34,4,2,2,有,有,有,65000,334,坡道平面,47.27,0
大寮區,土地,水源段691~720地號,264.46,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,16000,61,,0.0,0
左營區,房地(土地+建物)+車位,高雄市左營區新榮街151~180號,17.19,其他,,,10305,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960404,136.82,2,2,2,有,有,有,19989,146,坡道機械,19.51,0
新興區,房地(土地+建物),高雄市新興區五福一路121~150號,9.8,商,,,10304,土地3建物1車位0,見其他登記事項,26,店面(店鋪),商業用,鋼骨鋼筋混凝土造,0910301,183.25,0,0,0,無,無,無,40000,218,,0.0,0
