鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
三重區,房地(土地+建物),成功段1261~1290地號,7.59,商,,,10206,土地4建物1車位0,二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.12,2,1,1,有,無,12230000,142011,,0.0,0
三重區,房地(土地+建物),成功段1261~1290地號,7.59,商,,,10205,土地4建物1車位0,四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.12,2,1,1,有,無,12250000,142243,,0.0,0
三重區,房地(土地+建物),成功段1261~1290地號,7.59,商,,,10207,土地4建物1車位0,五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.12,2,1,1,有,無,12500000,145146,,0.0,0
三重區,房地(土地+建物),成功段1261~1290地號,7.59,商,,,10207,土地4建物1車位0,六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.12,2,1,1,有,無,12550000,145727,,0.0,0
三重區,房地(土地+建物),成功段1261~1290地號,7.59,商,,,10207,土地4建物1車位0,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.12,2,1,1,有,無,12770000,148281,,0.0,0
三重區,房地(土地+建物),成功段1261~1290地號,7.59,商,,,10207,土地4建物1車位0,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.12,2,1,1,有,無,12770000,148281,,0.0,0
三重區,房地(土地+建物),成功段1261~1290地號,7.59,商,,,10207,土地4建物1車位0,十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.12,2,1,1,有,無,13000000,150952,,0.0,0
三重區,房地(土地+建物),成功段1261~1290地號,5.35,商,,,10206,土地4建物1車位0,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,60.79,1,1,1,有,無,9260000,152328,,0.0,0
三重區,房地(土地+建物),成功段1261~1290地號,7.59,商,,,10207,土地4建物1車位0,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.12,2,1,1,有,無,13030000,151301,,0.0,0
三重區,房地(土地+建物),成功段1261~1290地號,5.35,商,,,10206,土地4建物1車位0,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,60.79,1,1,1,有,無,9350000,153808,,0.0,0
