鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
林口區,房地(土地+建物)+車位,新北市林口區忠孝三路1~30號,16.34,住,,,10304,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950530,126.19,3,2,2,有,無,有,18000,143,坡道平面,15.35,0
新莊區,房地(土地+建物),新北市新莊區新莊路1~30號,17.44,住,,,10304,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0641029,57.37,2,2,1,有,無,無,10000,174,,0.0,0
泰山區,房地(土地+建物),新北市泰山區明志路三段61~90號,0.0,住,,,10304,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,0920120,352.48,0,0,0,無,無,無,100000,284,,0.0,0
泰山區,房地(土地+建物),新北市泰山區仁武街139巷1~30號,10.92,住,,,10304,土地1建物1車位0,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970303,80.64,2,2,1,有,有,有,16000,198,,0.0,0
新莊區,房地(土地+建物)+車位,新北市新莊區立信三街31~60號,13.14,住,,,10304,土地1建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940331,124.4,3,2,2,有,有,有,24000,193,坡道平面,0.0,0
汐止區,建物,新北市汐止區新北市汐止區湖前街110巷97弄1~30號,0.0,住,,,10304,土地0建物1車位0,十九層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881202,58.41,1,1,1,有,有,無,11000,188,,0.0,0
汐止區,建物,新北市汐止區新北市汐止區湖前街110巷97弄1~30號,0.0,住,,,10304,土地0建物1車位0,十二層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881202,78.66,2,1,1,有,有,無,14000,178,,0.0,0
淡水區,房地(土地+建物)+車位,新北市淡水區中山北路二段188巷1~30號,21.39,住,,,10304,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020712,125.2,3,2,2,有,無,有,21000,168,坡道平面,31.91,0
淡水區,房地(土地+建物)+車位,新北市淡水區中山北路二段188巷1~30號,28.77,住,,,10304,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020712,172.56,4,2,2,有,無,有,25000,145,坡道平面,31.91,0
淡水區,房地(土地+建物),新北市淡水區新市一路三段151~180號,19.56,住,,,10304,土地1建物1車位0,一層,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,0970609,122.57,0,0,1,有,有,無,35000,286,,0.0,0
淡水區,房地(土地+建物),新北市淡水區北新路169巷31~60號,10.04,住,,,10304,土地1建物1車位0,十三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851228,66.55,2,1,1,有,有,有,10000,150,,0.0,0
板橋區,房地(土地+建物),新北市板橋區篤行路三段1~30號,6.71,住,,,10304,土地1建物1車位0,一層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0820423,92.1,0,0,0,無,無,無,32000,347,,0.0,0
三峽區,房地(土地+建物),新北市三峽區大學路31~60號,10.59,住,,,10304,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941017,69.76,2,2,1,有,有,有,15000,215,,0.0,0
樹林區,房地(土地+建物)+車位,新北市樹林區大義路211~240號,8.94,商,,,10304,土地1建物1車位1,八層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980108,123.99,2,2,1,有,有,有,16000,129,坡道平面,33.19,0
板橋區,建物,新北市板橋區永安街31~60號,14.73,住,,,10303,土地0建物0車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,33.0,1,0,1,有,無,有,7000,212,,0.0,0
新店區,建物,新北市新店區北新路二段181~210號,0.0,住,,,10303,土地0建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0680322,93.07,0,0,0,無,無,無,100000,1074,,0.0,0
板橋區,房地(土地+建物),新北市板橋區中山路二段1~30號,36.0,住,,,10304,土地1建物1車位0,一層,3,公寓(5樓含以下無電梯),住家用,加強磚造,0600605,74.59,0,0,0,無,無,無,43000,576,,0.0,0
