鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
五結鄉,房地(土地+建物),宜蘭縣五結鄉親河路二段291巷52弄1~30號,109.5,,特定農業區,甲種建築用地,10303,土地3建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,1021216,183.57,4,2,4,有,無,7700000,41946,,0.0,0
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮博愛路31~60號,45.81,住,,,10304,土地1建物1車位0,三層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660816,101.19,3,1,2,有,無,3200000,31624,,0.0,0
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉香城路33巷1~30號,117.0,,特定農業區,甲種建築用地,10304,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0811109,147.68,4,2,3,有,無,1800000,12189,,0.0,0
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮禮運路31~60號,4.63,住,,,10304,土地1建物1車位0,二層,013,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860401,41.14,0,0,1,有,有,1900000,46184,,0.0,0
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮光華街31~60號,8.65,商,,,10304,土地1建物1車位0,五層,005,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830603,43.230000000000004,1,1,1,有,有,1800000,41638,,0.0,0
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉季水路清水一巷1弄61~90號,51.76,,鄉村區,乙種建築用地,10304,土地1建物1車位1,一層，二層,004,其他,住家用,鋼筋混凝土造,0870602,148.27,3,2,2,有,無,2350000,15849,坡道平面,0.0,0
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮豐年路39巷31~60號,88.7,住,,,10304,土地3建物1車位2,三層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030220,280.28,3,2,3,有,有,17500000,62438,坡道平面,30.0,0
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路一段121~150號,12.76,,特定農業區,甲種建築用地,10304,土地1建物1車位0,四層,009,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850216,50.760000000000005,1,1,1,有,有,1180000,23247,,0.0,0
三星鄉,土地,大德段181~210地號,2063.5,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5700000,2762,,0.0,0
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮大同路61~90號,219.26,住,,,10304,土地1建物1車位0,全,002,透天厝,住家用,見其他登記事項,0610115,275.36,5,4,5,有,無,8700000,31595,,0.0,0
冬山鄉,土地,內城段691~720地號,687.12,,一般農業區,甲種建築用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8350000,12152,,0.0,0
冬山鄉,土地,內城段661~690地號,3077.3,,一般農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7447000,2420,,0.0,0
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮西寧路121~150號,18.01,住,,,10304,土地1建物1車位0,一層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840311,86.73,3,0,3,有,有,3960000,45659,,0.0,0
五結鄉,土地,大吉段31~60地號,3287.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,2282,,0.0,0
冬山鄉,土地,太員段1051~1080地號,1110.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2854000,2571,,0.0,0
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮禮運路31~60號,4.63,住,,,10304,土地1建物1車位0,七層,013,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860401,41.16,1,1,1,有,有,1800000,43732,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿女中路三段301~330號,8.62,住,,,10304,土地2建物1車位0,五層,006,套房(1房1廳1衛),住家用,鋼筋混凝土造,0940914,30.78,1,1,1,有,有,1396000,45354,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿農權路191巷1~30號,14.64,商,,,10304,土地2建物1車位0,六層,010,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1001216,72.92,2,0,2,有,有,3850000,52798,,0.0,0
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮濱海路六段301~330號,116.51,住,,,10304,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,0961227,205.02,4,2,3,有,無,6700000,32680,,0.0,0
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮濱海路六段301~330號,116.51,住,,,10304,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,0961227,205.02,4,2,3,有,無,6200000,30241,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿女中路三段320巷31~60號,26.06,住,,,10303,土地1建物1車位0,六層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850105,106.07,3,2,2,有,無,4000000,37711,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿新興路91~120號,77.74,住,,,10304,土地1建物1車位0,一層，二層，三層，屋頂突出物,003,店面(店鋪),見其他登記事項,鋼筋混凝土造,1021223,181.22,3,2,5,有,無,15000000,82772,,0.0,0
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉礁溪路四段31巷1~30號,24.48,住,,,10304,土地2建物1車位0,三層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730110,69.62,2,2,1,有,無,4000000,57455,,0.0,0
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路211~240號,10.94,住,,,10304,土地1建物1車位0,二層,007,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840601,58.89,1,1,1,有,有,2350000,39905,,0.0,0
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路73巷1~30號,30.97,住,,,10204,土地3建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691114,94.62,3,1,1,有,無,2500000,26421,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿環市東路三段301~330號,955.59,,特定農業區,農牧用地,10304,土地2建物1車位0,一層，二層，三層,003,農舍,農舍,鋼筋混凝土造,1020107,152.51,4,2,4,有,無,13500000,,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿嵐峰路三段186巷1~30號,98.2,住,,,10303,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1021223,186.29,3,2,3,有,無,11000000,59048,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿嵐峰路三段186巷1~30號,105.0,住,,,10303,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1021223,187.34,3,2,3,有,無,9800000,52311,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿嵐峰路三段186巷1~30號,102.0,住,,,10303,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1021223,186.58,3,2,3,有,無,9700000,51988,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿嵐峰路三段181~210號,98.68,住,,,10303,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1021223,184.79,3,2,3,有,無,12220000,66129,,0.0,0
