鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
蘆竹鄉,房地(土地+建物)+車位,大興段91~120地號,94.16,住,,,10203,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.75,2,1,1,有,無,6140000,76225,坡道平面,35.63,1100000
蘆竹鄉,房地(土地+建物)+車位,大興段91~120地號,127.87,住,,,10203,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.17,4,2,2,有,無,9300000,77482,坡道平面,35.63,1200000
蘆竹鄉,房地(土地+建物)+車位,大興段91~120地號,79.05,住,,,10201,土地1建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.21,2,1,1,有,無,5430000,85607,坡道平面,35.63,1100000
蘆竹鄉,房地(土地+建物)+車位,大興段91~120地號,94.16,住,,,10205,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.75,2,1,1,有,無,7330000,93466,坡道平面,35.63,1150000
蘆竹鄉,房地(土地+建物)+車位,大興段91~120地號,19.85,住,,,10203,土地1建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.63,2,1,1,有,無,5640000,144250,坡道平面,57.85,1200000
蘆竹鄉,房地(土地+建物)+車位,大興段91~120地號,116.24,住,,,10203,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.5,3,2,2,有,無,8080000,74516,坡道平面,35.5,1150000
蘆竹鄉,房地(土地+建物)+車位,大興段91~120地號,151.12,住,,,10207,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.63,4,2,2,有,無,10510000,72558,坡道平面,35.63,1150000
蘆竹鄉,房地(土地+建物)+車位,大興段91~120地號,27.14,住,,,10206,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.86,3,2,2,有,無,8780000,121885,坡道平面,57.85,1100000
蘆竹鄉,房地(土地+建物)+車位,大興段91~120地號,125.54,住,,,10202,土地1建物1車位1,一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.29,0,1,1,有,無,11000000,100215,坡道平面,35.5,1200000
蘆竹鄉,房地(土地+建物)+車位,大興段91~120地號,116.24,住,,,10206,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.5,3,2,2,有,無,8980000,85773,坡道平面,35.63,1100000
