鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
中壢市,房地(土地+建物),桃園縣中壢市中北路二段208巷31~60號,6.22,住,,,10304,土地1建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0910404,51.04,1,2,1,有,有,有,10000,196,,0.0,0
中壢市,房地(土地+建物)+車位,桃園縣中壢市中北路二段181~210號,20.04,住,,,10304,土地1建物1車位0,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900115,124.24,4,2,2,有,有,有,16500,133,坡道平面,0.0,0
中壢市,房地(土地+建物)+車位,桃園縣中壢市中北路二段208巷31~60號,20.65,住,,,10304,土地1建物1車位0,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900115,125.50999999999999,4,2,2,有,有,有,16000,127,坡道平面,0.0,0
中壢市,建物,桃園縣中壢市強國路1~30號,22.0,住,,,10304,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710227,79.62,2,2,2,有,無,有,7500,94,,0.0,0
中壢市,房地(土地+建物),桃園縣中壢市龍泉街92巷1~30號,102.65,住,,,10305,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850216,71.17,3,2,1,有,無,無,7500,105,,0.0,0
八德市,房地(土地+建物),桃園縣八德市廣福路770巷22弄1~30號,69.21,,鄉村區,乙種建築用地,10304,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0800211,198.95,5,4,5,有,無,有,12000,60,,0.0,0
大溪鎮,房地(土地+建物),桃園縣大溪鎮仁善里介壽路539巷27弄31~60號,63.0,住,,,10304,土地1建物1車位0,全,1,透天厝,住家用,磚造,0671229,47.43,4,2,3,有,無,有,10000,211,,0.0,0
大溪鎮,房地(土地+建物),桃園縣大溪鎮仁和八街91~120號,156.26,住,,,10304,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0640801,211.9,5,4,2,有,無,有,21000,99,,0.0,0
中壢市,房地(土地+建物),桃園縣中壢市龍安六街1~30號,15.28,住,,,10304,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820220,76.7,2,2,1,有,有,有,7000,91,,0.0,0
中壢市,房地(土地+建物),桃園縣中壢市仁德五街1~30號,13.44,住,,,10304,土地1建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970714,114.33,3,2,2,有,有,無,13000,114,,0.0,0
蘆竹鄉,房地(土地+建物),桃園縣蘆竹鄉南崁路一段271~300號,26.35,住,,,10303,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970620,88.62,2,2,1,有,無,有,16000,181,,0.0,0
八德市,房地(土地+建物),桃園縣八德市忠勇五街1~30號,15.04,商,,,10304,土地1建物1車位0,一層,19,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0980506,112.55000000000001,0,0,0,無,有,無,25000,222,,0.0,0
中壢市,房地(土地+建物),桃園縣中壢市中園路121~150號,141.0,住,,,10304,土地1建物1車位0,全,5,透天厝,住家用,鋼造,0851230,79.99000000000001,3,0,1,有,無,有,30000,375,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市民有五街121~150號,13.19,住,,,10304,土地1建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931231,136.88,2,2,2,有,有,有,16000,117,,0.0,0
龜山鄉,房地(土地+建物),桃園縣龜山鄉光明街271~300號,66.18,其他,,,10305,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831027,144.8,2,1,1,有,無,有,15000,104,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市大業路一段61~90號,14.97,住,,,10304,土地1建物1車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930915,115.99,1,1,1,有,有,有,15000,129,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市民有六街1~30號,3.88,住,,,10304,土地1建物1車位0,十三層,17,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850118,39.97,0,0,0,無,有,有,8000,200,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市安慶街133巷1~30號,11.99,住,,,10304,土地1建物1車位0,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830411,100.91,3,2,2,有,有,有,13500,134,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市復興路361~390號,190.0,住,,,10304,土地1建物1車位0,一層,3,店面(店鋪),住家用,加強磚造,0650812,71.57,0,0,0,無,無,無,140000,1956,,0.0,0
楊梅市,房地(土地+建物),桃園縣楊梅市蘋果路31~60號,49.25,商,,,10304,土地1建物1車位0,一層,1,店面(店鋪),見其他登記事項,鋼筋混凝土造,0961119,89.89,0,0,0,無,無,有,11000,122,,0.0,0
楊梅市,房地(土地+建物),桃園縣楊梅市永美路445巷154弄1~30號,60.0,住,,,10304,土地2建物1車位0,全,2,透天厝,住家用,加強磚造,0691124,74.16,4,2,3,有,無,無,10000,135,,0.0,0
大園鄉,土地,沙崙段坡堵小段241~270地號,1685.0,,一般農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,10000,6,,0.0,0
大溪鎮,房地(土地+建物),桃園縣大溪鎮勝利街97巷16弄1~30號,27.27,住,,,10304,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840121,122.00999999999999,3,2,2,有,無,無,8000,66,,0.0,0
大溪鎮,房地(土地+建物)+車位,桃園縣大溪鎮勝利街97巷16弄1~30號,27.27,住,,,10304,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840121,122.00999999999999,3,2,2,有,無,無,8000,66,坡道平面,0.0,0
大溪鎮,房地(土地+建物)+車位,桃園縣大溪鎮介壽路22巷1~30號,32.79,住,,,10304,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000919,108.27,3,2,2,有,有,無,12000,111,坡道平面,28.09,0
