鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
嘉義市,房地(土地+建物),嘉義市嘉義巿和平路241~270號,8.29,住,,,10303,土地1建物1車位0,十四層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821018,70.71000000000001,2,1,1,有,有,1700000,24042,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿育英里3鄰國華街16巷1~30號,67.0,住,,,10304,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0580724,99.88,0,0,0,有,無,1381200,13829,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿信義路61~90號,30.96,住,,,10304,土地1建物1車位0,四層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690424,109.03999999999999,3,2,2,有,無,880000,8070,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿德明路61~90號,9.56,住,,,10304,土地1建物1車位0,十九層,019,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840816,120.66999999999999,3,2,2,有,有,2940000,24364,,0.0,0
嘉義市,土地,下路頭段301~330地號,76.0,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23500000,309211,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿博愛路二段151~180號,7.5,住,,,10304,土地1建物1車位0,七層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880421,73.18,2,1,1,有,有,2100000,28696,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿小雅路181~210號,14.64,住,,,10304,土地1建物1車位0,十層,016,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,122.63,3,2,2,有,有,3300000,26910,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿國揚三街1~30號,102.0,住,,,10304,土地1建物1車位0,一層，二層，三層，四層,004,店面(店鋪),見其他登記事項,見其他登記事項,1020424,231.17,4,2,3,有,無,12000000,51910,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿嘉北街61~90號,105.0,住,,,10304,土地1建物1車位0,一層，二層，地下一層,007,店面(店鋪),住商用,鋼筋混凝土造,0791015,408.12,1,1,1,有,無,18800000,46065,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿僑嘉三街31~60號,198.5,其他,,,10303,土地5建物1車位0,全,002,透天厝,住商用,鋼筋混凝土加強磚造,0700105,102.29,3,1,2,有,無,3400000,33239,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿溪興街231巷24弄91~120號,79.0,住,,,10304,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0781024,143.68,3,2,2,有,無,4500000,31320,,0.0,0
嘉義市,土地,榮段一小段1~30地號,16.0,商,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,723360,45210,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿光彩街481~510號,7.39,商,,,10304,土地1建物2車位0,六層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820426,45.86,1,1,1,有,有,1000000,21805,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿杭州四街31~60號,39.46,住,,,10304,土地1建物1車位0,二層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780117,179.59,4,2,2,有,有,3360000,18709,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿臺斗街91~120號,22.86,住,,,10304,土地3建物1車位0,三層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811006,106.31,3,2,2,有,有,3500000,32923,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿僑嘉一街39巷1~30號,89.0,住,,,10304,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0580127,105.1,4,2,2,有,無,3500000,33302,,0.0,0
嘉義市,土地,中庄段1~30地號,17.0,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1002000,58941,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿新民路416巷39弄1~30號,108.84,住,,,10303,土地2建物1車位0,全,003,透天厝,見其他登記事項,見其他登記事項,1030113,223.34,5,3,5,有,無,9380000,41999,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿新民路416巷39弄1~30號,121.17,住,,,10304,土地2建物1車位0,全,003,透天厝,見其他登記事項,見其他登記事項,1030113,218.6,5,3,5,有,無,11000000,50320,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿軍輝路241~270號,64.85,住,,,10304,土地2建物1車位0,一層，二層,003,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0890310,141.62,4,1,3,有,無,4200000,29657,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿林森東路269巷38弄1~30號,68.0,住,,,10303,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0650427,94.35,3,2,2,有,無,2700000,28617,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿彌陀路238巷66弄61~90號,71.0,住,,,10304,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0780810,136.01,4,2,2,有,無,4200000,30880,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿忠孝路781~810號,15.86,住,,,10304,土地1建物1車位0,五層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841004,101.07,3,2,2,有,有,3050000,30177,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿南興路121~150號,193.0,住,,,10304,土地1建物1車位0,一層，二層,002,店面(店鋪),住商用,見其他登記事項,0960202,121.96,2,2,2,有,無,19200000,157429,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿永吉一街61~90號,23.34,住,,,10304,土地1建物1車位0,四層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840211,137.06,3,2,2,有,無,2800000,20429,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿義教街721~750號,98.0,住,,,10303,土地1建物1車位0,全,003,透天厝,住商用,鋼筋混凝土加強磚造,0700923,275.72,5,3,3,有,無,9100000,33004,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿青年街121~150號,9.61,住,,,10304,土地2建物2車位0,四層,009,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810914,57.33,1,1,1,有,有,1200000,20928,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿芳草里5鄰草地尾31~60號,118.0,住,,,10304,土地2建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0640424,89.66,4,2,3,有,無,5500000,61343,,0.0,0
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿市宅街31~60號,20.2,住,,,10304,土地1建物1車位1,二層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830616,97.92999999999999,3,2,2,有,有,3000000,30634,坡道機械,0.0,0
嘉義市,土地,何庄段961~990地號,661.16,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5800000,8772,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿保建街31~60號,21.87,住,,,10304,土地1建物1車位0,五層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820623,123.38,3,2,2,有,有,3780000,30637,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿民族路541~570號,104.55,商,,,10303,土地2建物1車位0,全,005,透天厝,住商用,鋼筋混凝土造,0521024,351.18,8,1,7,有,無,24500000,69765,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿彌陀路121~150號,7.61,住,,,10304,土地1建物1車位0,二層,020,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850311,97.22,2,2,1,有,有,2800000,28801,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿民權路361~390號,8.82,住,,,10304,土地1建物1車位0,四層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801102,68.46,3,1,2,有,無,1250000,18259,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿興仁街38巷61~90號,33.08,住,,,10303,土地1建物1車位0,五層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831223,108.53,3,2,2,有,有,2500000,23035,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿南京路15巷1~30號,20.21,住,,,10304,土地1建物1車位0,十二層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830914,136.9,4,2,2,有,有,3050000,22279,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿小雅路181~210號,13.93,住,,,10304,土地1建物1車位0,十二層,016,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,116.62,2,2,1,有,有,2350000,20151,,0.0,0
嘉義市,車位,嘉義市嘉義巿溪興街91~120號,0.65,住,,,10304,土地0建物0車位1,地下一層,016,其他,見其他登記事項,鋼筋混凝土造,0811210,46.49,0,0,0,有,無,400000,,坡道平面,0.0,400000
嘉義市,房地(土地+建物),嘉義市嘉義巿忠義街63巷1~30號,26.31,商,,,10304,土地2建物1車位0,三層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800228,106.74000000000001,3,2,2,有,無,2500000,23421,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿溫州二街91~120號,6.34,住,,,10304,土地1建物1車位0,三層,006,套房(1房1廳1衛),住家用,鋼筋混凝土造,0801115,33.05,1,0,1,有,無,890000,26929,,0.0,0
嘉義市,土地,湖內段601~630地號,122.2,住,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,12275,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿水源地31~60號,419.0,住,,,10304,土地2建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0690320,290.54,4,2,2,有,無,18770000,64604,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿民生南路91~120號,64.0,住,,,10304,土地1建物1車位0,一層，二層，騎樓,002,店面(店鋪),住商用,木造,0550215,72.76,1,1,1,有,無,9300000,127817,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿西區光路里民生南路545巷31~60號,135.0,住,,,10304,土地1建物1車位0,全,002,透天厝,住家用,木造,0640418,78.44,2,1,1,有,無,4250000,54182,,0.0,0
嘉義市,土地,竹村段1051~1080地號,3523.35,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,29842680,8470,,0.0,0
嘉義市,土地,劉厝段1~30地號,22.0,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,465500,21159,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿保建街31~60號,76.0,住,,,10304,土地1建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土造,0890907,197.89,6,1,5,有,無,7150000,36131,,0.0,0
