鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
竹北市,建物,新竹縣竹北市科大一路181~210號,0.0,住,,,10304,土地0建物1車位2,一層,14,店面(店鋪),商業用,鋼筋混凝土造,1000105,193.16000000000003,0,0,0,無,有,無,28000,145,坡道平面,0.0,0
竹北市,建物,新竹縣竹北市民權街17巷1~30號,7.9,商,,,10304,土地0建物1車位0,十九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840420,113.64,3,2,2,有,有,無,13000,114,,0.0,0
竹北市,建物,新竹縣竹北市隘口六街121~150號,0.0,住,,,10304,土地0建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991231,172.53,2,2,1,有,有,無,13500,78,坡道平面,0.0,0
竹北市,建物,新竹縣竹北市自強五路121~150號,0.0,,,,10304,土地0建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941213,275.71000000000004,3,2,2,有,有,無,24000,87,坡道平面,0.0,0
竹北市,建物,新竹縣竹北市成功九街61~90號,0.0,住,,,10304,土地0建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011212,99.05,4,2,2,有,有,有,20000,202,坡道平面,0.0,0
竹北市,建物,新竹縣竹北市成功一街61~90號,0.0,住,,,10304,土地0建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930524,123.21,4,2,2,有,有,有,16000,130,坡道機械,0.0,0
竹北市,建物,新竹縣竹北市新泰路91~120號,0.0,商,,,10304,土地0建物1車位1,三層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1000902,100.05,3,2,2,有,有,有,16000,160,坡道機械,0.0,0
竹北市,建物,新竹縣竹北市六家一路一段121~150號,0.0,,,,10304,土地0建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000707,124.44999999999999,2,1,1,有,有,有,19000,153,坡道平面,0.0,0
竹北市,建物,新竹縣竹北市復興六路31~60號,0.0,住,,,10304,土地0建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961207,172.49,3,2,2,有,有,有,27000,157,坡道平面,0.0,0
竹北市,建物,新竹縣竹北市復興六路31~60號,0.0,住,,,10304,土地0建物1車位2,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961207,210.79000000000002,3,2,2,有,有,有,29000,138,坡道平面,0.0,0
