鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
南投市,土地,首區段61~90地號,432.71,住,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,36500000,84352,,0.0,0
南投市,土地,西施厝坪段西施厝坪小段121~150地號,132.0,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1677000,12705,,0.0,0
南投市,土地,西施厝坪段西施厝坪小段121~150地號,132.0,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1677000,12705,,0.0,0
名間鄉,土地,仁和段991~1020地號,5104.82,,特定農業區,農牧用地,10303,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19653500,3850,,0.0,0
南投市,房地(土地+建物),南投縣南投巿文化南路81巷1~30號,77.0,住,,,10212,土地1建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,0851121,134.98,4,3,3,有,無,4600000,34079,,0.0,0
南投市,土地,大崗段1~30地號,327.0,,工業區,丁種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5935000,18150,,0.0,0
南投市,房地(土地+建物),南投縣南投巿漳和里彰南路二段303巷1~30號,97.0,住,,,10303,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0670712,115.64,5,3,2,有,無,4800000,41508,,0.0,0
中寮鄉,土地,分水寮段1~30地號,471.0,,山坡地保育區,交通用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,117750,250,,0.0,0
中寮鄉,土地,爽文段1051~1080地號,809.61,,山坡地保育區,交通用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,356228,440,,0.0,0
南投市,房地(土地+建物),南投縣南投巿民族路421~450號,81.0,住,,,10304,土地1建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0931117,199.05,4,2,5,有,無,7900000,39689,,0.0,0
南投市,房地(土地+建物),南投縣南投巿平山一路四街1~30號,86.0,住,,,10202,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,1021203,178.19,5,2,3,有,無,6800000,38162,,0.0,0
南投市,房地(土地+建物),南投縣南投巿營南里南營路781~810號,291.0,,特定農業區,甲種建築用地,10304,土地1建物2車位0,全,002,透天厝,住家用,鋼筋混凝土造,0730114,234.37,6,4,4,有,無,5730000,24449,,0.0,0
中寮鄉,土地,龍眼林段61~90地號,75.0,,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000,133,,0.0,0
南投市,房地(土地+建物),南投縣南投巿東山路145巷1~30號,1122.48,,一般農業區,甲種建築用地,10303,土地2建物1車位0,全,001,透天厝,商業用,見其他登記事項,0850210,291.99,0,0,0,無,無,9800000,33563,,0.0,0
草屯鎮,土地,雙冬段雙冬小段1351~1380地號,2773.8,,山坡地保育區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,1803,,0.0,0
草屯鎮,土地,雙冬段雙冬小段1351~1380地號,2991.8,,山坡地保育區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,1404,,0.0,0
埔里鎮,房地(土地+建物),南投縣埔里鎮虎山路1~30號,115.82,,鄉村區,乙種建築用地,10304,土地1建物1車位0,全,003,透天厝,住家用,鋼骨鋼筋混凝土造,0950825,176.36,4,2,4,有,無,7400000,41960,,0.0,0
