鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
花壇鄉,土地,燕霧段271~300地號,79.45,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,40277,,0.0,0
彰化市,房地(土地+建物),彰化縣彰化巿彰南路二段351巷1~30號,108.11,,特定農業區,甲種建築用地,10303,土地2建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0850321,151.57,4,2,2,有,無,5800000,38266,,0.0,0
彰化市,房地(土地+建物),彰化縣彰化巿介壽北路75巷12弄1~30號,86.0,住,,,10304,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0631002,99.96,0,0,0,無,無,5600000,56022,,0.0,0
彰化市,土地,茄苳段631~660地號,1206.87,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4600000,3812,,0.0,0
芬園鄉,土地,舊社段451~480地號,3072.0,,山坡地保育區,林業用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,1302,,0.0,0
彰化市,房地(土地+建物)+車位,彰化縣彰化巿平和十三街61~90號,17.47,住,,,10304,土地2建物2車位1,三層，四層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890614,104.22,2,2,2,有,有,3650000,35022,升降機械,0.0,0
彰化市,房地(土地+建物),彰化縣彰化巿彰益街61~90號,70.89,住,,,10304,土地1建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土造,0870216,217.44,5,3,4,有,無,2500000,11497,,0.0,0
彰化市,房地(土地+建物),彰化縣彰化巿東芳里永芳路600巷1~30號,91.4,住,,,10304,土地3建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土造,1030116,170.04,4,3,3,有,有,5900000,34698,,0.0,0
彰化市,房地(土地+建物),彰化縣彰化巿陳稜路194巷1~30號,50.0,商,,,10303,土地1建物1車位0,全,004,透天厝,住商用,鋼筋混凝土造,0591114,133.12,3,2,3,有,無,5300000,39814,,0.0,0
彰化市,土地,線東段811~840地號,1454.15,農,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17375260,11949,,0.0,0
和美鎮,土地,仁愛段1171~1200地號,2206.0,,鄉村區,乙種建築用地,10303,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,48714360,22083,,0.0,0
鹿港鎮,土地,鹽埔段661~690地號,759.99,,一般農業區,丁種建築用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9067000,11930,,0.0,0
福興鄉,土地,福金段1171~1200地號,2384.99,,一般農業區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3577500,1500,,0.0,0
福興鄉,土地,福金段1171~1200地號,1438.1,,一般農業區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2157200,1500,,0.0,0
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮文化街1~30號,22.87,住,,,10304,土地1建物1車位0,全,007,透天厝,住商用,鋼筋混凝土造,0820522,94.55,2,2,2,有,無,2700000,28556,,0.0,0
鹿港鎮,建物,彰化縣鹿港鎮鹿工南五路31~60號,0.0,,,,10304,土地0建物2車位0,一層，二層，三層，四層，夾層,004,工廠,工業用,見其他登記事項,1000323,684.51,0,0,4,無,無,12000000,,,0.0,0
員林鎮,房地(土地+建物)+車位,彰化縣員林鎮三多里永興街121~150號,30.92,住,,,10304,土地1建物2車位1,七層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790706,178.19,4,1,2,有,有,5000000,28060,坡道平面,0.0,0
大村鄉,房地(土地+建物),彰化縣大村鄉山腳路79巷91~120號,74.2,,特定農業區,甲種建築用地,10304,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0790202,113.6,3,2,3,有,無,2960000,26056,,0.0,0
