鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
新竹市,房地(土地+建物)+車位,新竹市新竹巿榮濱路19巷1~30號,15.29,商,,,10303,土地1建物1車位1,七層,011,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021220,111.74000000000001,2,2,1,有,有,3800000,34008,坡道平面,24.61,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿大學路61~90號,14.39,住,,,10303,土地2建物1車位1,八層,020,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851114,144.05,3,2,2,有,有,10800000,74974,坡道平面,0.0,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿榮濱路19巷1~30號,23.5,商,,,10303,土地1建物1車位1,九層,011,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021220,159.07,3,2,2,有,有,5330000,33507,坡道平面,24.61,0
新竹市,房地(土地+建物),新竹市新竹巿榮濱路19巷1~30號,7.83,商,,,10304,土地1建物1車位0,六層,011,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021220,44.81,1,1,1,有,有,1700000,37938,,0.0,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿建功一路121~150號,29.72,住,,,10304,土地1建物1車位1,二層,012,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0870410,143.27,3,2,2,有,有,8880000,61981,坡道平面,0.0,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿關新東路241~270號,52.93,住,,,10303,土地2建物1車位3,十三層,026,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020710,421.38,4,2,4,有,有,33850000,87999,坡道平面,82.74,4050000
新竹市,房地(土地+建物)+車位,新竹市新竹巿關新東路241~270號,51.3,住,,,10304,土地2建物1車位2,十九層,026,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020710,393.79,4,2,4,有,有,33600000,92133,坡道平面,55.16,2400000
新竹市,房地(土地+建物),新竹市新竹巿經國路二段211~240號,30.67,商,,,10303,土地4建物1車位0,二層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740803,109.94000000000001,3,2,2,有,無,4000000,36383,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿柯湳一街80巷1~30號,63.07,,山坡地保育區,丙種建築用地,10303,土地2建物1車位0,二層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0900510,80.54,4,0,4,有,有,1960000,24339,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿民權路111巷31~60號,37.0,住,,,10304,土地1建物1車位0,一層,001,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680827,95.05,3,2,2,有,無,9900000,104156,,0.0,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿食品路155巷31~60號,33.34,住,,,10304,土地1建物1車位1,二層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790806,176.0,4,2,2,有,無,12000000,68182,坡道平面,0.0,0
新竹市,土地,建華段1~30地號,87.82,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,36438,,0.0,0
新竹市,土地,建華段1~30地號,184.94,其他,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7250000,39202,,0.0,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿武陵路245巷1~30號,21.18,住,,,10303,土地1建物2車位1,三層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860410,112.82,3,2,2,有,有,6600000,58500,坡道機械,0.0,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿天府路一段481~510號,10.88,住,,,10304,土地1建物1車位1,十層,014,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970520,129.91,2,2,2,有,有,5280000,40644,其他,25.94,0
新竹市,房地(土地+建物),新竹市新竹巿富群街1~30號,68.01,,山坡地保育區,丙種建築用地,10303,土地4建物3車位0,三層,015,辦公商業大樓,商業用,鋼筋混凝土造,0851213,411.62,0,0,0,無,有,11425000,27756,,0.0,0
新竹市,土地,湖港段691~720地號,908.4,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6485067,7139,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿振興路48巷15弄1~30號,11.16,住,,,10304,土地1建物1車位0,五層,005,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960416,36.12,1,0,1,有,有,1700000,47065,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿東大路二段301~330號,21.22,住,,,10303,土地1建物1車位0,七層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690815,98.4,3,2,1,有,有,3200000,32520,,0.0,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿南門里南門街31~60號,5.22,商,,,10303,土地1建物1車位1,七層,010,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1020130,45.14,1,1,1,有,有,4430000,104843,坡道機械,10.04,750000
新竹市,房地(土地+建物)+車位,新竹市新竹巿龍山東路211~240號,35.38,住,,,10303,土地3建物1車位2,五層,023,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021125,319.5,4,2,3,有,有,18660000,58404,坡道平面,56.2,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿龍山東路211~240號,35.38,住,,,10303,土地3建物1車位2,十層,023,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021125,319.5,4,2,3,有,有,20400000,63850,坡道平面,56.2,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿龍山東路211~240號,27.19,住,,,10303,土地3建物1車位2,七層,023,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021125,258.5,4,2,2,有,有,14950000,57834,坡道平面,56.2,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿龍山東路181~210號,25.45,住,,,10303,土地3建物1車位4,三層,023,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021125,245.73,4,2,2,有,有,13480000,54857,坡道平面,56.24,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿牛埔東路1~30號,18.83,住,,,10303,土地1建物1車位1,十四層,015,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970131,154.76,3,2,2,有,有,8300000,53631,坡道平面,0.0,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿龍山東路181~210號,25.5,住,,,10304,土地3建物1車位1,十四層,023,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021125,217.98999999999998,4,2,2,有,有,13600000,62388,坡道平面,28.1,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿高翠路61~90號,20.38,住,,,10303,土地1建物1車位1,四層,006,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0960331,85.18,2,2,1,有,有,5620000,65970,坡道平面,0.0,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿關新東路181~210號,39.8,住,,,10303,土地4建物1車位2,十一層,014,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001201,309.65,4,2,2,有,有,23580000,76150,坡道平面,61.14,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿振興路61~90號,17.39,住,,,10304,土地1建物1車位1,五層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820927,113.09,2,2,1,有,有,4500000,39791,坡道平面,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿中山路211~240號,6.0,商,,,10304,土地1建物1車位0,五層,010,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960606,38.3,1,1,1,有,有,3000000,78329,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿明湖路751~780號,14.1,其他,,,10304,土地1建物1車位0,地下四層,004,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940220,50.46000000000001,1,1,1,有,有,1570000,31114,,0.0,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿光復路一段544巷121~150號,22.74,住,,,10302,土地2建物1車位2,六層,014,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,189.78,3,2,2,有,有,12000000,63231,坡道機械,0.0,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿培英街31~60號,46.41,住,,,10304,土地2建物1車位1,七層，八層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840908,273.4,5,2,2,有,無,18000000,65838,坡道平面,0.0,0
新竹市,土地,民主段1621~1650地號,93.0,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10137000,109000,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿北新街31~60號,11.3,住,,,10304,土地1建物1車位0,四層,005,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960326,38.35,1,1,1,有,有,2900000,75619,,0.0,0
新竹市,土地,水源段451~480地號,103.61,,特定農業區,農牧用地,10206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2820600,27223,,0.0,0
新竹市,土地,水源段451~480地號,103.61,,特定農業區,農牧用地,10206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2820600,27223,,0.0,0
新竹市,土地,自由段31~60地號,11.0,住,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,469700,42700,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿光復路一段385巷1~30號,25.7,住,,,10304,土地1建物1車位0,四層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721111,102.8,3,2,2,有,有,5000000,48638,,0.0,0
