鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
新竹市,建物,新竹市新竹巿經國路三段61~90號,0.0,住,,,10304,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860920,167.26999999999998,4,2,2,有,有,無,15000,90,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿東門街34巷1~30號,14.32,商,,,10304,土地1建物1車位0,十七層,25,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011015,180.2,3,2,2,有,有,有,40000,222,,0.0,0
新竹市,建物,新竹市新竹巿光復路一段481~510號,0.0,住,,,10304,土地0建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880310,156.34,3,2,2,有,有,有,15000,96,坡道平面,0.0,0
新竹市,建物,新竹市新竹巿鐵道路一段28巷1~30號,0.0,商,,,10304,土地0建物1車位1,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000718,129.67000000000002,3,2,2,有,有,有,22000,170,坡道平面,0.0,0
新竹市,建物,新竹市新竹巿仁德街61~90號,0.0,商,,,10304,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,48.32,2,1,1,有,無,有,10000,207,,0.0,0
新竹市,建物,新竹市新竹巿牛埔東路91~120號,0.0,住,,,10304,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821006,110.15,3,2,2,有,無,無,11000,100,,0.0,0
新竹市,建物,新竹市新竹巿光復路二段515巷1~30號,4.53,其他,,,10305,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831028,74.06,2,2,1,有,無,有,13000,176,,0.0,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿培英街1~30號,195.0,住,,,10305,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830415,153.53,4,2,2,有,無,有,20000,130,升降機械,0.0,0
新竹市,建物,新竹市新竹巿東門街34巷1~30號,0.0,商,,,10304,土地0建物1車位0,十五層,20,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011015,129.59,3,2,2,有,有,有,37000,286,,0.0,0
新竹市,建物,新竹市新竹巿復興路31~60號,0.0,商,,,10305,土地0建物1車位0,見其他登記事項,3,店面(店鋪),住商用,加強磚造,0331025,161.68,0,0,0,無,無,無,70000,433,,0.0,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿關新路19巷31~60號,20.96,其他,,,10304,土地3建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971022,148.32,4,2,2,有,有,有,26000,175,坡道平面,24.88,0
