鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
秀林鄉,土地,道拉斯段1171~1200地號,980.58,,一般農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,459,,0.0,0
壽豐鄉,土地,路內段1291~1320地號,516.76,農,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,6773,,0.0,0
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉里路1~30號,3308.0,農,,,10304,土地5建物3車位0,全,002,透天厝,見其他登記事項,鋼筋混凝土造,0550722,801.55,0,0,5,有,無,15800000,19712,,0.0,0
花蓮市,土地,林森段961~990地號,118.0,商,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27300000,231356,,0.0,0
花蓮市,建物,花蓮縣花蓮巿中山路301~330號,0.0,,,,10304,土地0建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土造,0951011,347.95,4,1,5,有,無,7700000,22130,,0.0,0
吉安鄉,房地(土地+建物),花蓮縣吉安鄉宜昌七街1~30號,111.0,商,,,10304,土地1建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0740410,274.75,5,2,3,有,無,6500000,23658,,0.0,0
壽豐鄉,土地,豐東段691~720地號,4898.83,,一般農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10370000,2117,,0.0,0
吉安鄉,土地,南埔段2671~2700地號,866.67,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10224000,11797,,0.0,0
吉安鄉,土地,海濱段571~600地號,769.83,,一般農業區,甲種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6050000,7859,,0.0,0
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉中山路三段66巷28弄1~30號,108.31,住,,,10303,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0730613,97.26,3,1,2,有,無,2680000,27555,,0.0,0
吉安鄉,房地(土地+建物),花蓮縣吉安鄉華工六路72巷31~60號,92.69,,工業區,丁種建築用地,10304,土地1建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1021211,191.23,4,2,5,有,無,8500000,44449,,0.0,0
新城鄉,土地,天佑段871~900地號,2080.07,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,2644,,0.0,0
壽豐鄉,土地,沼田段271~300地號,9040.46,農,,,10302,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21877600,2420,,0.0,0
瑞穗鄉,土地,鶴岡段181~210地號,422.0,,山坡地保育區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,711,,0.0,0
玉里鎮,土地,玉璞段1681~1710地號,11238.0,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20100000,1789,,0.0,0
瑞穗鄉,房地(土地+建物),花蓮縣瑞穗鄉自強新村61~90號,90.0,,鄉村區,乙種建築用地,10304,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0710904,83.8,3,2,1,有,無,1150000,13723,,0.0,0
玉里鎮,土地,麻汝段811~840地號,5971.32,,山坡地保育區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,502,,0.0,0
玉里鎮,土地,玉城段1201~1230地號,223.0,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2010000,9013,,0.0,0
瑞穗鄉,土地,瑞穗段1861~1890地號,9210.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19780000,2148,,0.0,0
富里鄉,土地,大里段451~480地號,3731.0,,特定農業區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,804,,0.0,0
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中山路三段211~240號,126.0,住,,,10304,土地2建物1車位0,全,002,透天厝,住商用,鋼筋混凝土造,0740111,129.58,3,2,2,有,無,9200000,70999,,0.0,0
壽豐鄉,土地,豐坪段631~660地號,6180.0,,特定農業區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12150000,1966,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛一街66巷1~30號,16.63,商,,,10304,土地1建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730919,82.5,3,2,2,有,無,2550000,30909,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿明禮路1~30號,9.73,商,,,10304,土地1建物1車位0,六層,010,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0860224,95.97,2,2,2,有,有,5000000,52100,,0.0,0
吉安鄉,房地(土地+建物),花蓮縣吉安鄉仁里五街61~90號,87.0,住,,,10304,土地1建物1車位0,全,004,透天厝,住商用,鋼筋混凝土造,0850806,227.8,5,2,4,有,無,7600000,33363,,0.0,0
新城鄉,房地(土地+建物),花蓮縣新城鄉華興街180巷31~60號,98.0,,鄉村區,乙種建築用地,10304,土地1建物1車位0,全,002,透天厝,住商用,鋼筋混凝土加強磚造,0740309,96.98,3,2,2,有,無,2660000,27428,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿富裕五街61~90號,8.63,住,,,10304,土地1建物1車位0,四層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830610,31.59,1,0,1,有,有,1100000,34821,,0.0,0
光復鄉,土地,溪州段31~60地號,3414.91,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,351,,0.0,0
萬榮鄉,土地,支亞干段1741~1770地號,4656.72,,一般農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,86,,0.0,0
新城鄉,土地,嘉南段151~180地號,192.0,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7580000,39479,,0.0,0
吉安鄉,土地,光中段901~930地號,6548.96,,一般農業區,農牧用地,10304,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12282000,1875,,0.0,0
壽豐鄉,土地,豐南段841~870地號,3279.54,,一般農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,1372,,0.0,0
壽豐鄉,土地,壽農段1291~1320地號,3649.1,,特定農業區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8168000,2238,,0.0,0
壽豐鄉,土地,溪口段241~270地號,3243.18,,一般農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5250000,1619,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿中興路1~30號,11.59,商,,,10304,土地1建物1車位0,五層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0721215,83.28,3,2,2,有,有,2720000,32661,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿公正街31~60號,5.88,商,,,10304,土地1建物1車位0,五層,012,套房(1房1廳1衛),商業用,鋼筋混凝土造,0830630,42.96,1,1,1,有,有,1300000,30261,,0.0,0
豐濱鄉,土地,豐義段601~630地號,693.02,其他,,,10303,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2386000,3443,,0.0,0
玉里鎮,土地,泰林段751~780地號,6281.34,,山坡地保育區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3450000,549,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿中美路89巷1~30號,8.98,商,,,10304,土地2建物1車位0,七層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820109,60.17,3,1,2,有,有,2430000,40386,,0.0,0
花蓮市,房地(土地+建物),花蓮縣吉安鄉自強路594巷1~30號,10.08,住,,,10302,土地2建物1車位0,四層,005,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831117,35.38,1,1,1,有,有,930000,26286,,0.0,0
