鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
金寧鄉,土地,寧北一劃段121~150地號,1000.0,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,3000,,0.0,0
金城鎮,土地,東沙段451~480地號,2175.55,其他,,,10303,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,1931,,0.0,0
金城鎮,土地,小西門劃測段2161~2190地號,687.27,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,11640,,0.0,0
金湖鎮,土地,太湖劃測段211~240地號,606.96,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6800000,11203,,0.0,0
金沙鎮,土地,蔡厝劃測段361~390地號,1127.03,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2366763,2100,,0.0,0
金寧鄉,土地,榜林村段211~240地號,199.0,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4700000,23618,,0.0,0
烈嶼鄉,土地,青岐段61~90地號,151.0,住,,,10305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,6623,,0.0,0
金湖鎮,土地,瓊林段421~450地號,6.85,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23970,3499,,0.0,0
金湖鎮,土地,瓊林段421~450地號,20.89,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,73125,3500,,0.0,0
金湖鎮,土地,瓊林段421~450地號,50.2,其他,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,175700,3500,,0.0,0
金湖鎮,土地,瓊林段421~450地號,50.2,其他,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,175700,3500,,0.0,0
金湖鎮,土地,瓊林段421~450地號,66.05,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,231175,3500,,0.0,0
金城鎮,土地,金城劃段211~240地號,242.5,農,,,10305,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,13196,,0.0,0
金寧鄉,房地(土地+建物),金門縣金寧鄉湖南1~30號,71.75,住,,,10304,土地1建物1車位0,三層,003,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1030121,110.03999999999999,3,2,2,有,無,5700000,51799,,0.0,0
